speed,dates,year,month,day,hour,min
50.33,2022-04-15T10:13:00Z,2022,4,15,10,13
47.84,2022-04-15T10:19:00Z,2022,4,15,10,19
32.93,2022-04-15T10:23:00Z,2022,4,15,10,23
38.52,2022-04-15T10:28:00Z,2022,4,15,10,28
44.11,2022-04-15T10:38:00Z,2022,4,15,10,38
49.7,2022-04-15T10:43:00Z,2022,4,15,10,43
50.95,2022-04-15T10:53:00Z,2022,4,15,10,53
51.57,2022-04-15T10:58:00Z,2022,4,15,10,58
52.19,2022-04-15T11:03:00Z,2022,4,15,11,3
44.11,2022-04-15T11:13:00Z,2022,4,15,11,13
39.14,2022-04-15T11:17:00Z,2022,4,15,11,17
34.79,2022-04-15T11:22:00Z,2022,4,15,11,22
32.93,2022-04-15T11:28:00Z,2022,4,15,11,28
31.68,2022-04-15T11:32:00Z,2022,4,15,11,32
41.63,2022-04-15T11:42:00Z,2022,4,15,11,42
42.25,2022-04-15T11:52:00Z,2022,4,15,11,52
36.66,2022-04-15T11:57:00Z,2022,4,15,11,57
34.79,2022-04-15T12:02:00Z,2022,4,15,12,2
32.31,2022-04-15T12:12:00Z,2022,4,15,12,12
49.7,2022-04-15T12:23:00Z,2022,4,15,12,23
54.05,2022-04-15T12:27:00Z,2022,4,15,12,27
55.3,2022-04-15T12:32:00Z,2022,4,15,12,32
49.08,2022-04-15T12:37:00Z,2022,4,15,12,37
52.81,2022-04-15T12:42:00Z,2022,4,15,12,42
55.92,2022-04-15T12:52:00Z,2022,4,15,12,52
53.43,2022-04-15T12:57:00Z,2022,4,15,12,57
55.92,2022-04-15T13:03:00Z,2022,4,15,13,3
52.19,2022-04-15T13:07:00Z,2022,4,15,13,7
54.05,2022-04-15T13:17:00Z,2022,4,15,13,17
50.95,2022-04-15T13:22:00Z,2022,4,15,13,22
45.98,2022-04-15T13:27:00Z,2022,4,15,13,27
41.63,2022-04-15T13:32:00Z,2022,4,15,13,32
46.6,2022-04-15T13:38:00Z,2022,4,15,13,38
46.6,2022-04-15T13:42:00Z,2022,4,15,13,42
53.43,2022-04-15T13:48:00Z,2022,4,15,13,48
55.3,2022-04-15T13:52:00Z,2022,4,15,13,52
53.43,2022-04-15T13:57:00Z,2022,4,15,13,57
54.68,2022-04-15T14:02:00Z,2022,4,15,14,2
54.05,2022-04-15T14:07:00Z,2022,4,15,14,7
46.6,2022-04-15T14:17:00Z,2022,4,15,14,17
54.68,2022-04-15T14:22:00Z,2022,4,15,14,22
50.95,2022-04-15T14:28:00Z,2022,4,15,14,28
52.81,2022-04-15T14:32:00Z,2022,4,15,14,32
53.43,2022-04-15T14:38:00Z,2022,4,15,14,38
55.3,2022-04-15T14:42:00Z,2022,4,15,14,42
55.92,2022-04-15T14:53:00Z,2022,4,15,14,53
55.3,2022-04-15T14:57:00Z,2022,4,15,14,57
