observation_date,POPTHM
1/1/1999,277891000
2/1/1999,278095000
3/1/1999,278324000
4/1/1999,278584000
5/1/1999,278859000
6/1/1999,279148000
7/1/1999,279448000
8/1/1999,279752000
9/1/1999,280053000
10/1/1999,280337000
11/1/1999,280594000
12/1/1999,280846000
1/1/2000,281083000
2/1/2000,281299000
3/1/2000,281531000
4/1/2000,281763000
5/1/2000,281996000
6/1/2000,282247000
7/1/2000,282504000
8/1/2000,282769000
9/1/2000,283033000
10/1/2000,283285000
11/1/2000,283523000
12/1/2000,283748000
1/1/2001,283960000
2/1/2001,284166000
3/1/2001,284380000
4/1/2001,284602000
5/1/2001,284834000
6/1/2001,285076000
7/1/2001,285324000
8/1/2001,285584000
9/1/2001,285842000
10/1/2001,286086000
11/1/2001,286315000
12/1/2001,286533000
1/1/2002,286739000
2/1/2002,286935000
3/1/2002,287131000
4/1/2002,287343000
5/1/2002,287571000
6/1/2002,287808000
7/1/2002,288051000
8/1/2002,288303000
9/1/2002,288554000
10/1/2002,288794000
11/1/2002,289012000
12/1/2002,289214000
1/1/2003,289412000
2/1/2003,289606000
3/1/2003,289809000
4/1/2003,290024000
5/1/2003,290250000
6/1/2003,290484000
7/1/2003,290726000
8/1/2003,290974000
9/1/2003,291222000
10/1/2003,291463000
11/1/2003,291677000
12/1/2003,291868000
1/1/2004,292046000
2/1/2004,292230000
3/1/2004,292434000
4/1/2004,292651000
5/1/2004,292872000
6/1/2004,293103000
7/1/2004,293350000
8/1/2004,293603000
9/1/2004,293857000
10/1/2004,294104000
11/1/2004,294337000
12/1/2004,294561000
1/1/2005,294768000
2/1/2005,294955000
3/1/2005,295149000
4/1/2005,295359000
5/1/2005,295582000
6/1/2005,295824000
7/1/2005,296077000
8/1/2005,296338000
9/1/2005,296606000
10/1/2005,296857000
11/1/2005,297089000
12/1/2005,297311000
1/1/2006,297526000
2/1/2006,297734000
3/1/2006,297950000
4/1/2006,298170000
5/1/2006,298401000
6/1/2006,298653000
7/1/2006,298910000
8/1/2006,299178000
9/1/2006,299452000
10/1/2006,299710000
11/1/2006,299950000
12/1/2006,300178000
1/1/2007,300398000
2/1/2007,300608000
3/1/2007,300823000
4/1/2007,301045000
5/1/2007,301278000
6/1/2007,301528000
7/1/2007,301790000
8/1/2007,302064000
9/1/2007,302334000
10/1/2007,302590000
11/1/2007,302834000
12/1/2007,303062000
1/1/2008,303280000
2/1/2008,303494000
3/1/2008,303707000
4/1/2008,303926000
5/1/2008,304157000
6/1/2008,304396000
7/1/2008,304646000
8/1/2008,304903000
9/1/2008,305158000
10/1/2008,305403000
11/1/2008,305620000
12/1/2008,305827000
1/1/2009,306035000
2/1/2009,306237000
3/1/2009,306438000
4/1/2009,306645000
5/1/2009,306863000
6/1/2009,307090000
7/1/2009,307322000
8/1/2009,307570000
9/1/2009,307826000
10/1/2009,308071000
11/1/2009,308289000
12/1/2009,308495000
1/1/2010,308706000
2/1/2010,308904000
3/1/2010,309095000
4/1/2010,309289000
5/1/2010,309485000
6/1/2010,309691000
7/1/2010,309913000
8/1/2010,310146000
9/1/2010,310385000
10/1/2010,310612000
11/1/2010,310820000
12/1/2010,311020000
1/1/2011,311204000
2/1/2011,311373000
3/1/2011,311551000
4/1/2011,311740000
5/1/2011,311935000
6/1/2011,312147000
7/1/2011,312372000
8/1/2011,312605000
9/1/2011,312842000
10/1/2011,313060000
11/1/2011,313260000
12/1/2011,313454000
1/1/2012,313636000
2/1/2012,313811000
3/1/2012,313993000
4/1/2012,314176000
5/1/2012,314368000
6/1/2012,314576000
7/1/2012,314796000
8/1/2012,315031000
9/1/2012,315264000
10/1/2012,315485000
11/1/2012,315692000
12/1/2012,315877000
1/1/2013,316038000
2/1/2013,316191000
3/1/2013,316357000
4/1/2013,316535000
5/1/2013,316729000
6/1/2013,316934000
7/1/2013,317156000
8/1/2013,317397000
9/1/2013,317635000
10/1/2013,317864000
11/1/2013,318076000
12/1/2013,318276000
1/1/2014,318464000
2/1/2014,318642000
3/1/2014,318827000
4/1/2014,319020000
5/1/2014,319225000
6/1/2014,319438000
7/1/2014,319670000
8/1/2014,319919000
9/1/2014,320166000
10/1/2014,320403000
11/1/2014,320616000
12/1/2014,320815000
1/1/2015,320997000
2/1/2015,321164000
3/1/2015,321344000
4/1/2015,321538000
5/1/2015,321740000
6/1/2015,321954000
7/1/2015,322186000
8/1/2015,322427000
9/1/2015,322670000
10/1/2015,322901000
11/1/2015,323113000
12/1/2015,323318000
1/1/2016,323509000
2/1/2016,323687000
3/1/2016,323871000
4/1/2016,324061000
5/1/2016,324260000
6/1/2016,324476000
7/1/2016,324697000
8/1/2016,324924000
9/1/2016,325155000
10/1/2016,325368000
11/1/2016,325562000
12/1/2016,325742000
1/1/2017,325901000
2/1/2017,326050000
3/1/2017,326207000
4/1/2017,326371000
5/1/2017,326548000
6/1/2017,326743000
7/1/2017,326939000
8/1/2017,327140000
9/1/2017,327342000
10/1/2017,327528000
11/1/2017,327699000
12/1/2017,327848000
1/1/2018,327969000
2/1/2018,328085000
3/1/2018,328219000
4/1/2018,328364000
5/1/2018,328521000
6/1/2018,328692000
7/1/2018,328863000
8/1/2018,329040000
9/1/2018,329216000
10/1/2018,329379000
11/1/2018,329527000
12/1/2018,329659000
1/1/2019,329766000
2/1/2019,329862000
3/1/2019,329977000
4/1/2019,330103000
5/1/2019,330240000
6/1/2019,330393000
7/1/2019,330553000
8/1/2019,330729000
9/1/2019,330904000
10/1/2019,331066000
11/1/2019,331213000
12/1/2019,331345000
1/1/2020,331443000
2/1/2020,331525000
3/1/2020,331667000
4/1/2020,331750000
5/1/2020,331751000
6/1/2020,331795000
7/1/2020,331861000
8/1/2020,331936000
9/1/2020,332017000
10/1/2020,332092000
11/1/2020,332129000
12/1/2020,332113000
1/1/2021,332058000
2/1/2021,332034000
3/1/2021,332074000
4/1/2021,332140000
5/1/2021,332212000
6/1/2021,332299000
7/1/2021,332455000
8/1/2021,332644000
9/1/2021,332805000
10/1/2021,332961000
11/1/2021,333117000
12/1/2021,333260000
1/1/2022,333360000
2/1/2022,333457000
3/1/2022,333610000
4/1/2022,333792000
5/1/2022,333976000
6/1/2022,334168000
7/1/2022,334393000
8/1/2022,334652000
9/1/2022,334912000
10/1/2022,335155000
11/1/2022,335386000
12/1/2022,335604000
1/1/2023,335807000
