date,quarter_end,period_covered,fiscal_quarter,revenue_billions,aapl_reported_revenue,source,comments
7/31/2026,6/27/2026,Apr-Jun 2026,2026 Q3,109.417,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/30/2026,3/28/2026,Jan-Mar 2026,2026 Q2,111.184,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/31/2026,12/27/2025,Oct-Dec 2025,2026 Q1,143.756,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/31/2025,9/27/2025,Jul-Sep 2025,2025 Q4,102.466,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/31/2025,6/28/2025,Apr-Jun 2025,2025 Q3,94.036,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/30/2025,3/29/2025,Jan-Mar 2025,2025 Q2,95.359,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/31/2025,12/28/2024,Oct-Dec 2024,2025 Q1,124.3,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/31/2024,9/28/2024,Jul-Sep 2024,2024 Q4,94.93,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/31/2024,6/29/2024,Apr-Jun 2024,2024 Q3,85.777,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/30/2024,3/30/2024,Jan-Mar 2024,2024 Q2,90.753,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/31/2024,12/30/2023,Oct-Dec 2023,2024 Q1,119.575,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
11/2/2023,9/30/2023,Jul-Sep 2023,2023 Q4,89.498,89.498B,Bloomberg,"Quarterly net revenue for Apple, in billions of U.S. dollars"
8/3/2023,7/1/2023,Apr-Jun 2023,2023 Q3,81.797,81.797B,Bloomberg,
5/4/2023,4/1/2023,Jan-Mar 2023,2023 Q2,94.836,94.836B,Bloomberg,2013-2023 data from Bloomberg
2/2/2023,12/31/2022,Oct-Dec 2022,2023 Q1,117.154,117.154B,Bloomberg,
10/27/2022,9/24/2022,Jul-Sep 2022,2022 Q4,90.146,90.146B,Bloomberg,
7/28/2022,6/25/2022,Apr-Jun 2022,2022 Q3,82.959,82.959B,Bloomberg,
4/28/2022,3/26/2022,Jan-Mar 2022,2022 Q2,97.278,97.278B,Bloomberg,
1/27/2022,12/25/2021,Oct-Dec 2021,2022 Q1,123.945,123.945B,Bloomberg,
10/28/2021,9/25/2021,Jul-Sep 2021,2021 Q4,83.36,83.360B,Bloomberg,
7/27/2021,6/26/2021,Apr-Jun 2021,2021 Q3,81.434,81.434B,Bloomberg,
4/28/2021,3/27/2021,Jan-Mar 2021,2021 Q2,89.584,89.584B,Bloomberg,
1/27/2021,12/26/2020,Oct-Dec 2020,2021 Q1,111.439,111.439B,Bloomberg,
10/29/2020,9/26/2020,Jul-Sep 2020,2020 Q4,64.698,64.698B,Bloomberg,
7/30/2020,6/27/2020,Apr-Jun 2020,2020 Q3,59.685,59.685B,Bloomberg,
4/30/2020,3/28/2020,Jan-Mar 2020,2020 Q2,58.313,58.313B,Bloomberg,
1/28/2020,12/28/2019,Oct-Dec 2019,2020 Q1,91.819,91.819B,Bloomberg,
10/30/2019,9/28/2019,Jul-Sep 2019,2019 Q4,64.04,64.040B,Bloomberg,
7/30/2019,6/29/2019,Apr-Jun 2019,2019 Q3,53.809,53.809B,Bloomberg,
4/30/2019,3/30/2019,Jan-Mar 2019,2019 Q2,58.015,58.015B,Bloomberg,
1/29/2019,12/29/2018,Oct-Dec 2018,2019 Q1,84.31,84.310B,Bloomberg,
11/1/2018,9/29/2018,Jul-Sep 2018,2018 Q4,62.9,62.900B,Bloomberg,
7/31/2018,6/30/2018,Apr-Jun 2018,2018 Q3,53.265,53.265B,Bloomberg,
5/1/2018,3/31/2018,Jan-Mar 2018,2018 Q2,61.137,61.137B,Bloomberg,
2/1/2018,12/30/2017,Oct-Dec 2017,2018 Q1,88.293,88.293B,Bloomberg,
11/2/2017,9/30/2017,Jul-Sep 2017,2017 Q4,52.579,52.579B,Bloomberg,
8/1/2017,7/1/2017,Apr-Jun 2017,2017 Q3,45.408,45.408B,Bloomberg,
5/2/2017,4/1/2017,Jan-Mar 2017,2017 Q2,52.896,52.896B,Bloomberg,
1/31/2017,12/31/2016,Oct-Dec 2016,2017 Q1,78.351,78.351B,Bloomberg,
10/25/2016,9/24/2016,Jul-Sep 2016,2016 Q4,46.852,46.852B,Bloomberg,
7/26/2016,6/25/2016,Apr-Jun 2016,2016 Q3,42.358,42.358B,Bloomberg,
4/26/2016,3/26/2016,Jan-Mar 2016,2016 Q2,50.557,50.557B,Bloomberg,
1/26/2016,12/26/2015,Oct-Dec 2015,2016 Q1,75.872,75.872B,Bloomberg,
10/27/2015,9/26/2015,Jul-Sep 2015,2015 Q4,51.501,51.501B,Bloomberg,
