year,quarter,net_revenue_b,comments
2005,1,0.26,"Quarterly net revenue for Apple, in billions of U.S. dollars"
2005,2,0.1,
2005,3,0.26,Extracted from a figure at
2005,4,0.36,https://www.statista.com/statistics/263426/apples-global-revenue-since-1st-quarter-2005/
2006,1,0.51,
2006,2,0.36,
2006,3,0.36,
2006,4,0.46,
2007,1,0.92,
2007,2,0.72,
2007,3,0.72,
2007,4,0.66,
2008,1,1.54,
2008,2,0.97,
2008,3,1.02,
2008,4,2.16,
2009,1,2.11,
2009,2,1.49,
2009,3,1.74,
2009,4,2.42,
2010,1,3.29,
2010,2,2.88,
2010,3,3.14,
2010,4,4.22,
2011,1,5.82,
2011,2,5.82,
2011,3,7.22,
2011,4,6.49,
2012,1,12.95,
2012,2,11.56,
2012,3,8.76,
2012,4,7.99,
2013,1,12.9,
2013,2,9.43,
2013,3,6.75,
2013,4,7.31,
2014,1,12.89,
2014,2,10.21,
2014,3,7.57,
2014,4,8.34,
2015,1,17.9,
2015,2,13.36,
2015,3,10.62,
2015,4,10.93,
2016,1,18.11,
2016,2,10.3,
2016,3,7.67,
2016,4,8.86,
2017,1,17.69,
2017,2,10.97,
2017,3,8.54,
2017,4,10.56,
2018,1,19.86,
2018,2,13.71,
2018,3,11.38,
2018,4,13.92,
2019,1,19.81,
2019,2,11.38,
2019,3,9.83,
2019,4,13.5,
2020,1,22.13,
2020,2,10.97,
2020,3,11.02,
2020,4,12.51,
2021,1,28.59,
2021,2,23.47,
2021,3,21.45,
2021,4,20.32,
2022,1,34.37,
2022,2,24.71,
2022,3,19.28,
2022,4,20.57,
2023,1,29.77,
2023,2,28.11,
2023,3,19.64,
2023,4,22.79,
