Date,Last Price,Open Interest,SMAVG (15)
1/16/2024,78.29,391148,160814
12/29/2023,77.04,552541,141218
11/30/2023,82.83,89553,108130
10/31/2023,87.41,132353,105474
9/29/2023,95.31,64664,99660
8/31/2023,86.86,73941,99197
7/31/2023,85.56,73703,100580
6/30/2023,74.9,79440,99162
5/31/2023,72.66,86067,97463
4/28/2023,79.54,106105,95717
3/31/2023,79.77,64337,92295
2/28/2023,83.89,99088,124485
1/31/2023,84.49,89902,120576
12/30/2022,85.91,433320,118570
11/30/2022,85.43,76053,94558
10/31/2022,94.83,97204,94007
9/30/2022,87.96,56219,92946
8/31/2022,96.49,49715,92445
7/29/2022,110.01,45140,126596
6/30/2022,114.81,57719,129229
5/31/2022,122.84,94688,129029
4/29/2022,109.34,52440,127159
3/31/2022,107.91,53949,126879
2/28/2022,100.99,59875,163126
1/31/2022,91.21,54771,163580
12/31/2021,77.78,547197,164640
11/30/2021,70.57,40442,132461
10/29/2021,84.38,59812,162244
9/30/2021,78.52,73143,162029
8/31/2021,72.99,67794,161147
7/30/2021,76.33,81285,159768
6/30/2021,75.13,48711,159306
5/31/2021,69.32,561967,159066
4/30/2021,67.25,84640,125524
3/31/2021,63.54,54726,123795
2/26/2021,66.13,66631,164076
1/29/2021,55.88,48249,163110
12/31/2020,51.8,597646,166467
11/30/2020,47.59,66691,131114
10/30/2020,37.46,70659,129772
9/30/2020,40.95,64522,127938
8/31/2020,45.28,487191,130141
7/31/2020,43.3,56575,101006
6/30/2020,41.15,59912,102010
5/29/2020,35.33,47113,102422
4/30/2020,25.27,74363,101980
3/31/2020,22.74,45099,100914
2/28/2020,50.52,58844,130762
1/31/2020,58.16,58711,130839
12/31/2019,66,658933,131426
11/29/2019,62.43,52144,90582
10/31/2019,60.23,98606,89595
9/30/2019,60.78,67352,86357
8/30/2019,60.43,46552,85770
7/31/2019,65.17,43159,87251
6/28/2019,66.55,97560,88852
5/31/2019,64.49,50171,86311
4/30/2019,72.8,71638,86876
3/29/2019,68.39,66084,87332
2/28/2019,66.03,40486,126425
1/31/2019,61.89,58370,127053
12/31/2018,53.8,492814,127604
11/30/2018,58.71,60010,97704
10/31/2018,75.47,67516,95891
9/28/2018,82.72,46263,94155
8/31/2018,77.42,37338,93434
7/31/2018,74.25,50046,92662
6/29/2018,79.44,58550,91803
5/31/2018,77.59,68756,92710
4/30/2018,75.17,67181,90536
3/30/2018,70.27,59443,89478
2/28/2018,65.78,58645,126603
1/31/2018,69.05,78477,125561
12/29/2017,66.87,652480,123403
11/30/2017,63.57,49904,82108
10/31/2017,61.37,66634,80977
9/29/2017,57.54,44316,79090
8/31/2017,52.38,32823,77894
7/31/2017,52.65,41475,78127
6/30/2017,47.92,35436,79178
5/31/2017,50.31,25761,80246
4/28/2017,51.73,37166,82905
3/31/2017,52.83,72150,82642
2/28/2017,55.59,36153,96590
1/31/2017,55.7,51306,120127
12/30/2016,56.82,616326,145212
11/30/2016,50.47,43005,119128
10/31/2016,48.3,46114,132520
9/30/2016,49.06,33057,150180
8/31/2016,47.04,32933,164501
7/29/2016,42.46,38324,178990
6/30/2016,49.68,26388,200413
