TERMS AND CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.bankofcanada.ca/terms/,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly exchange rates,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly average exchange rates - published by 16:30 ET on the last business day of each month. All Bank of Canada exchange rates are indicative rates only.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SERIES,,,,,,,,,,,,,,,,,,,,,,,,,,
id,label,description,,,,,,,,,,,,,,,,,,,,,,,,
FXMAUDCAD,AUD/CAD,Australian dollar to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMBRLCAD,BRL/CAD,Brazilian real to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMCNYCAD,CNY/CAD,Chinese renminbi to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMEURCAD,EUR/CAD,European euro to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMHKDCAD,HKD/CAD,Hong Kong dollar to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMINRCAD,INR/CAD,Indian rupee to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMIDRCAD,IDR/CAD,Indonesian rupiah to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMJPYCAD,JPY/CAD,Japanese yen to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMMYRCAD,MYR/CAD,Malaysian ringgit to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMMXNCAD,MXN/CAD,Mexican peso to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMNZDCAD,NZD/CAD,New Zealand dollar to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMNOKCAD,NOK/CAD,Norwegian krone to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMPENCAD,PEN/CAD,Peruvian new sol to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMRUBCAD,RUB/CAD,Russian ruble to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMSARCAD,SAR/CAD,Saudi riyal to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMSGDCAD,SGD/CAD,Singapore dollar to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMZARCAD,ZAR/CAD,South African rand to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMKRWCAD,KRW/CAD,South Korean won to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMSEKCAD,SEK/CAD,Swedish krona to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMCHFCAD,CHF/CAD,Swiss franc to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMTWDCAD,TWD/CAD,Taiwanese dollar to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMTHBCAD,THB/CAD,Thai baht to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMTRYCAD,TRY/CAD,Turkish lira to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMGBPCAD,GBP/CAD,UK pound sterling to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMUSDCAD,USD/CAD,US dollar to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
FXMVNDCAD,VND/CAD,Vietnamese dong to Canadian dollar monthly exchange rate,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,
date,FXMAUDCAD,FXMBRLCAD,FXMCNYCAD,FXMEURCAD,FXMHKDCAD,FXMINRCAD,FXMIDRCAD,FXMJPYCAD,FXMMYRCAD,FXMMXNCAD,FXMNZDCAD,FXMNOKCAD,FXMPENCAD,FXMRUBCAD,FXMSARCAD,FXMSGDCAD,FXMZARCAD,FXMKRWCAD,FXMSEKCAD,FXMCHFCAD,FXMTWDCAD,FXMTHBCAD,FXMTRYCAD,FXMGBPCAD,FXMUSDCAD,FXMVNDCAD
1/1/2017,0.9854,0.4133,0.1914,1.4028,0.1701,0.01938,0.000099,0.01149,0.2961,0.06165,0.9408,0.1559,0.3951,0.02207,0.3518,0.9241,0.09731,0.001118,0.1475,1.3093,0.04168,0.03723,0.3512,1.6289,1.3193,0.000058
2/1/2017,1.0045,0.4221,0.1907,1.3951,0.1689,0.01957,0.000098,0.0116,0.2951,0.06462,0.9472,0.1574,0.402,0.02244,0.3495,0.9269,0.09937,0.001148,0.1472,1.3087,0.04247,0.03744,0.3577,1.6367,1.3107,0.000058
3/1/2017,1.0204,0.428,0.1941,1.4307,0.1724,0.02034,0.0001,0.01186,0.3017,0.06942,0.9377,0.1573,0.4101,0.02313,0.3569,0.9527,0.1036,0.001181,0.1501,1.3362,0.04369,0.03839,0.3646,1.6524,1.3386,0.000059
4/1/2017,1.0121,0.4283,0.1951,1.4406,0.1729,0.02082,0.000101,0.0122,0.3052,0.07161,0.9364,0.1565,0.4138,0.02378,0.3584,0.961,0.0999,0.001184,0.1501,1.3431,0.04424,0.03899,0.3681,1.6994,1.344,0.000059
5/1/2017,1.0116,0.425,0.1976,1.5029,0.1747,0.02112,0.000102,0.01212,0.3152,0.07251,0.9455,0.1599,0.4158,0.02383,0.3628,0.9753,0.1026,0.001208,0.1549,1.3787,0.04512,0.03949,0.3816,1.758,1.3607,0.00006
6/1/2017,1.0053,0.4036,0.1953,1.494,0.1705,0.02063,0.0001,0.01199,0.3109,0.07333,0.9614,0.1572,0.4072,0.02293,0.3546,0.9611,0.1031,0.001175,0.1532,1.3738,0.04393,0.03912,0.3778,1.703,1.3298,0.000058
7/1/2017,0.9902,0.3966,0.1874,1.4628,0.1625,0.01969,0.000095,0.01129,0.2958,0.07127,0.9337,0.1558,0.3905,0.02125,0.3383,0.9257,0.09651,0.00112,0.1526,1.3212,0.04174,0.03763,0.3563,1.6488,1.2689,0.000056
8/1/2017,0.9977,0.4,0.1891,1.489,0.1612,0.0197,0.000094,0.01148,0.2943,0.07082,0.9202,0.1598,0.3889,0.02122,0.3361,0.9263,0.09528,0.001114,0.156,1.3061,0.04169,0.03791,0.3596,1.6324,1.2605,0.000055
