Category: All categories

Month,nightstand: (Worldwide)
2004-01,23
2004-02,11
2004-03,15
2004-04,15
2004-05,12
2004-06,17
2004-07,20
2004-08,17
2004-09,18
2004-10,12
2004-11,14
2004-12,13
2005-01,23
2005-02,17
2005-03,12
2005-04,12
2005-05,13
2005-06,13
2005-07,19
2005-08,17
2005-09,17
2005-10,17
2005-11,15
2005-12,13
2006-01,17
2006-02,18
2006-03,13
2006-04,13
2006-05,12
2006-06,13
2006-07,15
2006-08,16
2006-09,14
2006-10,13
2006-11,14
2006-12,16
2007-01,17
2007-02,15
2007-03,13
2007-04,16
2007-05,14
2007-06,14
2007-07,16
2007-08,16
2007-09,12
2007-10,13
2007-11,11
2007-12,13
2008-01,17
2008-02,15
2008-03,13
2008-04,12
2008-05,13
2008-06,16
2008-07,17
2008-08,16
2008-09,13
2008-10,14
2008-11,13
2008-12,12
2009-01,16
2009-02,15
2009-03,13
2009-04,12
2009-05,12
2009-06,15
2009-07,15
2009-08,19
2009-09,17
2009-10,15
2009-11,16
2009-12,15
2010-01,17
2010-02,18
2010-03,17
2010-04,16
2010-05,17
2010-06,16
2010-07,17
2010-08,19
2010-09,18
2010-10,17
2010-11,17
2010-12,16
2011-01,22
2011-02,17
2011-03,16
2011-04,18
2011-05,16
2011-06,17
2011-07,19
2011-08,20
2011-09,19
2011-10,18
2011-11,19
2011-12,19
2012-01,22
2012-02,22
2012-03,20
2012-04,20
2012-05,19
2012-06,20
2012-07,24
2012-08,26
2012-09,24
2012-10,22
2012-11,22
2012-12,21
2013-01,27
2013-02,24
2013-03,25
2013-04,22
2013-05,23
2013-06,24
2013-07,30
2013-08,31
2013-09,26
2013-10,23
2013-11,25
2013-12,25
2014-01,29
2014-02,28
2014-03,29
2014-04,26
2014-05,26
2014-06,26
2014-07,31
2014-08,33
2014-09,28
2014-10,27
2014-11,29
2014-12,29
2015-01,32
2015-02,34
2015-03,31
2015-04,29
2015-05,28
2015-06,31
2015-07,37
2015-08,37
2015-09,38
2015-10,36
2015-11,32
2015-12,35
2016-01,40
2016-02,40
2016-03,40
2016-04,40
2016-05,39
2016-06,37
2016-07,43
2016-08,43
2016-09,40
2016-10,39
2016-11,38
2016-12,39
2017-01,45
2017-02,40
2017-03,44
2017-04,39
2017-05,41
2017-06,42
2017-07,49
2017-08,52
2017-09,43
2017-10,45
2017-11,48
2017-12,49
2018-01,58
2018-02,51
2018-03,54
2018-04,47
2018-05,46
2018-06,48
2018-07,60
2018-08,58
2018-09,51
2018-10,45
2018-11,57
2018-12,55
2019-01,65
2019-02,55
2019-03,56
2019-04,51
2019-05,51
2019-06,58
2019-07,64
2019-08,67
2019-09,58
2019-10,62
2019-11,59
2019-12,62
2020-01,69
2020-02,63
2020-03,58
2020-04,79
2020-05,89
2020-06,88
2020-07,97
2020-08,100
2020-09,94
2020-10,80
2020-11,74
2020-12,76
2021-01,92
2021-02,82
2021-03,73
2021-04,76
2021-05,71
2021-06,71
2021-07,77
2021-08,76
2021-09,75
2021-10,70
2021-11,72
2021-12,73
2022-01,89
2022-02,76
2022-03,74
2022-04,70
2022-05,64
2022-06,66
2022-07,78
2022-08,77
2022-09,66
2022-10,62
2022-11,67
2022-12,65
2023-01,78
2023-02,72
2023-03,67
2023-04,62
2023-05,59
2023-06,68
2023-07,78
2023-08,74
2023-09,75
2023-10,67
2023-11,75
2023-12,75
2024-01,89
