Category: All categories

Month,night sweat: (Worldwide)
2004-01,68
2004-02,42
2004-03,74
2004-04,96
2004-05,31
2004-06,45
2004-07,53
2004-08,63
2004-09,37
2004-10,36
2004-11,56
2004-12,53
2005-01,66
2005-02,50
2005-03,92
2005-04,56
2005-05,42
2005-06,36
2005-07,40
2005-08,55
2005-09,36
2005-10,49
2005-11,47
2005-12,54
2006-01,48
2006-02,50
2006-03,56
2006-04,69
2006-05,39
2006-06,40
2006-07,29
2006-08,39
2006-09,43
2006-10,44
2006-11,36
2006-12,33
2007-01,50
2007-02,54
2007-03,34
2007-04,46
2007-05,37
2007-06,38
2007-07,38
2007-08,43
2007-09,37
2007-10,43
2007-11,32
2007-12,42
2008-01,55
2008-02,56
2008-03,55
2008-04,49
2008-05,40
2008-06,40
2008-07,44
2008-08,39
2008-09,41
2008-10,45
2008-11,42
2008-12,40
2009-01,43
2009-02,48
2009-03,48
2009-04,50
2009-05,43
2009-06,40
2009-07,30
2009-08,40
2009-09,36
2009-10,39
2009-11,42
2009-12,34
2010-01,45
2010-02,43
2010-03,40
2010-04,39
2010-05,38
2010-06,32
2010-07,38
2010-08,33
2010-09,36
2010-10,42
2010-11,40
2010-12,43
2011-01,48
2011-02,45
2011-03,52
2011-04,71
2011-05,61
2011-06,61
2011-07,56
2011-08,56
2011-09,52
2011-10,53
2011-11,56
2011-12,51
2012-01,52
2012-02,57
2012-03,53
2012-04,45
2012-05,45
2012-06,49
2012-07,46
2012-08,45
2012-09,49
2012-10,45
2012-11,44
2012-12,47
2013-01,55
2013-02,52
2013-03,49
2013-04,49
2013-05,44
2013-06,49
2013-07,46
2013-08,46
2013-09,47
2013-10,45
2013-11,47
2013-12,51
2014-01,59
2014-02,51
2014-03,51
2014-04,50
2014-05,48
2014-06,48
2014-07,48
2014-08,47
2014-09,46
2014-10,49
2014-11,46
2014-12,55
2015-01,52
2015-02,56
2015-03,56
2015-04,57
2015-05,52
2015-06,43
2015-07,48
2015-08,54
2015-09,52
2015-10,52
2015-11,50
2015-12,64
2016-01,65
2016-02,59
2016-03,56
2016-04,59
2016-05,54
2016-06,55
2016-07,54
2016-08,49
2016-09,52
2016-10,58
2016-11,53
2016-12,55
2017-01,70
2017-02,75
2017-03,61
2017-04,62
2017-05,55
2017-06,57
2017-07,59
2017-08,55
2017-09,54
2017-10,54
2017-11,67
2017-12,60
2018-01,78
2018-02,75
2018-03,66
2018-04,64
2018-05,60
2018-06,54
2018-07,57
2018-08,59
2018-09,60
2018-10,62
2018-11,63
2018-12,75
2019-01,82
2019-02,77
2019-03,75
2019-04,69
2019-05,69
2019-06,64
2019-07,62
2019-08,64
2019-09,66
2019-10,65
2019-11,65
2019-12,76
2020-01,87
2020-02,77
2020-03,82
2020-04,91
2020-05,82
2020-06,72
2020-07,73
2020-08,68
2020-09,67
2020-10,67
2020-11,68
2020-12,74
2021-01,83
2021-02,83
2021-03,75
2021-04,68
2021-05,72
2021-06,67
2021-07,71
2021-08,68
2021-09,69
2021-10,71
2021-11,68
2021-12,81
2022-01,90
2022-02,74
2022-03,77
2022-04,72
2022-05,71
2022-06,70
2022-07,72
2022-08,73
2022-09,68
2022-10,71
2022-11,74
2022-12,78
2023-01,85
2023-02,80
2023-03,78
2023-04,77
2023-05,77
2023-06,74
2023-07,71
2023-08,72
2023-09,71
2023-10,72
2023-11,73
2023-12,86
2024-01,100
