"naics","business","month","sales_millions","ordering"
"443141","Household appliance stores",1992 Jan,601,22
"443141","Household appliance stores",1992 Feb,576,22
"443141","Household appliance stores",1992 Mar,631,22
"443141","Household appliance stores",1992 Apr,643,22
"443141","Household appliance stores",1992 May,662,22
"443141","Household appliance stores",1992 Jun,746,22
"443141","Household appliance stores",1992 Jul,764,22
"443141","Household appliance stores",1992 Aug,727,22
"443141","Household appliance stores",1992 Sep,682,22
"443141","Household appliance stores",1992 Oct,732,22
"443141","Household appliance stores",1992 Nov,753,22
"443141","Household appliance stores",1992 Dec,920,22
"44412","Paint and wallpaper stores",1992 Jan,NA,26
"44412","Paint and wallpaper stores",1992 Feb,NA,26
"44412","Paint and wallpaper stores",1992 Mar,NA,26
"44412","Paint and wallpaper stores",1992 Apr,NA,26
"44412","Paint and wallpaper stores",1992 May,NA,26
"44412","Paint and wallpaper stores",1992 Jun,NA,26
"44412","Paint and wallpaper stores",1992 Jul,NA,26
"44412","Paint and wallpaper stores",1992 Aug,NA,26
"44412","Paint and wallpaper stores",1992 Sep,NA,26
"44412","Paint and wallpaper stores",1992 Oct,NA,26
"44412","Paint and wallpaper stores",1992 Nov,NA,26
"44412","Paint and wallpaper stores",1992 Dec,NA,26
"44812","Women's clothing stores",1992 Jan,1873,38
"44812","Women's clothing stores",1992 Feb,1991,38
"44812","Women's clothing stores",1992 Mar,2403,38
"44812","Women's clothing stores",1992 Apr,2665,38
"44812","Women's clothing stores",1992 May,2752,38
"44812","Women's clothing stores",1992 Jun,2424,38
"44812","Women's clothing stores",1992 Jul,2373,38
"44812","Women's clothing stores",1992 Aug,2657,38
"44812","Women's clothing stores",1992 Sep,2560,38
"44812","Women's clothing stores",1992 Oct,2755,38
"44812","Women's clothing stores",1992 Nov,2946,38
"44812","Women's clothing stores",1992 Dec,4416,38
"45111","Sporting goods stores",1992 Jan,972,44
"45111","Sporting goods stores",1992 Feb,1100,44
"45111","Sporting goods stores",1992 Mar,1214,44
"45111","Sporting goods stores",1992 Apr,1267,44
"45111","Sporting goods stores",1992 May,1293,44
"45111","Sporting goods stores",1992 Jun,1334,44
"45111","Sporting goods stores",1992 Jul,1340,44
"45111","Sporting goods stores",1992 Aug,1377,44
"45111","Sporting goods stores",1992 Sep,1206,44
"45111","Sporting goods stores",1992 Oct,1120,44
"45111","Sporting goods stores",1992 Nov,1207,44
"45111","Sporting goods stores",1992 Dec,2153,44
"443141","Household appliance stores",1993 Jan,641,22
"443141","Household appliance stores",1993 Feb,593,22
"443141","Household appliance stores",1993 Mar,669,22
"443141","Household appliance stores",1993 Apr,701,22
"443141","Household appliance stores",1993 May,727,22
"443141","Household appliance stores",1993 Jun,803,22
"443141","Household appliance stores",1993 Jul,920,22
"443141","Household appliance stores",1993 Aug,817,22
"443141","Household appliance stores",1993 Sep,741,22
"443141","Household appliance stores",1993 Oct,773,22
"443141","Household appliance stores",1993 Nov,804,22
"443141","Household appliance stores",1993 Dec,948,22
"44412","Paint and wallpaper stores",1993 Jan,NA,26
"44412","Paint and wallpaper stores",1993 Feb,NA,26
"44412","Paint and wallpaper stores",1993 Mar,NA,26
"44412","Paint and wallpaper stores",1993 Apr,NA,26
"44412","Paint and wallpaper stores",1993 May,NA,26
"44412","Paint and wallpaper stores",1993 Jun,NA,26
"44412","Paint and wallpaper stores",1993 Jul,NA,26
"44412","Paint and wallpaper stores",1993 Aug,NA,26
"44412","Paint and wallpaper stores",1993 Sep,NA,26
"44412","Paint and wallpaper stores",1993 Oct,NA,26
"44412","Paint and wallpaper stores",1993 Nov,NA,26
"44412","Paint and wallpaper stores",1993 Dec,NA,26
"44812","Women's clothing stores",1993 Jan,2123,38
"44812","Women's clothing stores",1993 Feb,2005,38
"44812","Women's clothing stores",1993 Mar,2442,38
"44812","Women's clothing stores",1993 Apr,2762,38
"44812","Women's clothing stores",1993 May,2873,38
"44812","Women's clothing stores",1993 Jun,2552,38
"44812","Women's clothing stores",1993 Jul,2539,38
"44812","Women's clothing stores",1993 Aug,2626,38
"44812","Women's clothing stores",1993 Sep,2622,38
"44812","Women's clothing stores",1993 Oct,2713,38
"44812","Women's clothing stores",1993 Nov,2923,38
"44812","Women's clothing stores",1993 Dec,4170,38
"45111","Sporting goods stores",1993 Jan,1032,44
"45111","Sporting goods stores",1993 Feb,984,44
"45111","Sporting goods stores",1993 Mar,1213,44
"45111","Sporting goods stores",1993 Apr,1367,44
"45111","Sporting goods stores",1993 May,1387,44
"45111","Sporting goods stores",1993 Jun,1457,44
