date,value
1/1/1990,1.8027
2/1/1990,1.939
3/1/1990,1.9667
4/1/1990,2.0866
5/1/1990,2.096
6/1/1990,1.9642
7/1/1990,1.9848
8/1/1990,2.199
9/1/1990,2.3304
10/1/1990,2.2608
11/1/1990,2.0937
12/1/1990,1.9928
1/1/1991,2.1795
2/1/1991,2.1424
3/1/1991,2.313
4/1/1991,2.343
5/1/1991,2.4313
6/1/1991,2.5151
7/1/1991,2.5082
8/1/1991,2.3821
9/1/1991,2.2757
10/1/1991,2.2273
11/1/1991,2.3228
12/1/1991,2.2925
1/1/1992,2.3857
2/1/1992,2.554
3/1/1992,2.5718
4/1/1992,2.6307
5/1/1992,2.6205
6/1/1992,2.5145
7/1/1992,2.4147
8/1/1992,2.2927
9/1/1992,2.2691
10/1/1992,2.3774
11/1/1992,2.452
12/1/1992,2.3698
1/1/1993,2.3259
2/1/1993,2.1097
3/1/1993,1.9483
4/1/1993,1.9536
5/1/1993,1.9341
6/1/1993,1.7894
7/1/1993,1.6851
8/1/1993,1.6461
9/1/1993,1.4486
10/1/1993,1.4003
11/1/1993,1.6118
12/1/1993,1.6455
1/1/1994,1.6442
2/1/1994,1.7203
3/1/1994,1.9579
4/1/1994,2.1997
5/1/1994,2.1499
6/1/1994,2.0908
7/1/1994,2.1708
8/1/1994,2.081
9/1/1994,2.1729
10/1/1994,2.2402
11/1/1994,2.2676
12/1/1994,2.0232
1/1/1995,2.0053
2/1/1995,1.8307
3/1/1995,1.7054
4/1/1995,1.6387
5/1/1995,1.3822
6/1/1995,1.1652
7/1/1995,1.2462
8/1/1995,1.3886
9/1/1995,1.2432
10/1/1995,1.1175
11/1/1995,1.048
12/1/1995,0.9676
1/1/1996,0.9812
2/1/1996,1.1226
3/1/1996,1.3961
4/1/1996,1.5429
5/1/1996,1.6405
6/1/1996,1.7059
7/1/1996,1.6343
8/1/1996,1.5232
9/1/1996,1.6485
10/1/1996,1.4973
11/1/1996,1.2914
12/1/1996,1.3507
1/1/1997,1.4939
2/1/1997,1.4219
3/1/1997,1.5635
4/1/1997,1.6606
5/1/1997,1.5635
