year,Q1,Q2,Q3,Q4
2005,,,0.943,1.058
2006,1.323,0.878,0.76,0.808
2007,1.393,0.986,0.864,0.702
2008,1.525,0.785,0.683,1.325
2009,1.182,0.781,0.834,1.005
2010,1.193,0.912,0.849,0.963
2011,1.106,0.961,0.999,0.734
2012,1.328,1.141,0.865,0.828
2013,1.249,1.019,0.819,0.856
2014,1.301,1.012,0.783,0.818
2015,1.367,1.013,0.847,0.891
2016,1.355,0.928,0.781,0.855
2017,1.412,0.935,0.776,0.864
2018,1.405,0.939,0.808,0.968
2019,1.303,0.894,0.816,0.956
2020,1.356,0.851,0.84,0.835
2021,1.326,1.005,0.875,0.872
2022,1.282,0.995,0.849,0.933
2023,1.219,0.989,,
