Year,Month,Date,ICD Sub-Chapter,ICD Sub-Chapter Code,Deaths
1999,Jan,1999/01,Tuberculosis,A16-A19,94
1999,Jan,1999/01,Other bacterial diseases,A30-A49,3216
1999,Jan,1999/01,Viral hepatitis,B15-B19,423
1999,Jan,1999/01,Human immunodeficiency virus [HIV] disease,B20-B24,1332
1999,Jan,1999/01,Sequelae of infectious and parasitic diseases,B90-B94,176
1999,Jan,1999/01,Diabetes mellitus,E10-E14,6561
1999,Jan,1999/01,Malnutrition,E40-E46,383
1999,Jan,1999/01,Obesity and other hyperalimentation,E65-E68,236
1999,Jan,1999/01,Other degenerative diseases of the nervous system,G30-G31,4700
1999,Jan,1999/01,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1229
1999,Jan,1999/01,"Diseases of arteries, arterioles and capillaries",I70-I78,3838
1999,Jan,1999/01,Influenza and pneumonia,J09-J18,7276
1999,Jan,1999/01,Chronic lower respiratory diseases,J40-J47,13148
1999,Jan,1999/01,Diseases of liver,K70-K76,3026
1999,Jan,1999/01,Transport accidents,V01-V99,3170
1999,Jan,1999/01,Intentional self-harm,X60-X84,2497
1999,Feb,1999/02,Tuberculosis,A16-A19,72
1999,Feb,1999/02,Other bacterial diseases,A30-A49,2965
1999,Feb,1999/02,Viral hepatitis,B15-B19,385
1999,Feb,1999/02,Human immunodeficiency virus [HIV] disease,B20-B24,1275
1999,Feb,1999/02,Sequelae of infectious and parasitic diseases,B90-B94,167
1999,Feb,1999/02,Diabetes mellitus,E10-E14,5991
1999,Feb,1999/02,Malnutrition,E40-E46,346
1999,Feb,1999/02,Obesity and other hyperalimentation,E65-E68,218
1999,Feb,1999/02,Other degenerative diseases of the nervous system,G30-G31,3982
1999,Feb,1999/02,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1201
1999,Feb,1999/02,"Diseases of arteries, arterioles and capillaries",I70-I78,3595
1999,Feb,1999/02,Influenza and pneumonia,J09-J18,7785
1999,Feb,1999/02,Chronic lower respiratory diseases,J40-J47,13261
1999,Feb,1999/02,Diseases of liver,K70-K76,2700
1999,Feb,1999/02,Transport accidents,V01-V99,2975
1999,Feb,1999/02,Intentional self-harm,X60-X84,2293
1999,Mar,1999/03,Tuberculosis,A16-A19,90
1999,Mar,1999/03,Other bacterial diseases,A30-A49,3398
1999,Mar,1999/03,Viral hepatitis,B15-B19,437
1999,Mar,1999/03,Human immunodeficiency virus [HIV] disease,B20-B24,1309
1999,Mar,1999/03,Sequelae of infectious and parasitic diseases,B90-B94,172
1999,Mar,1999/03,Diabetes mellitus,E10-E14,6402
1999,Mar,1999/03,Malnutrition,E40-E46,441
1999,Mar,1999/03,Obesity and other hyperalimentation,E65-E68,243
1999,Mar,1999/03,Other degenerative diseases of the nervous system,G30-G31,4546
1999,Mar,1999/03,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1390
1999,Mar,1999/03,"Diseases of arteries, arterioles and capillaries",I70-I78,3809
1999,Mar,1999/03,Influenza and pneumonia,J09-J18,8348
1999,Mar,1999/03,Chronic lower respiratory diseases,J40-J47,13835
1999,Mar,1999/03,Diseases of liver,K70-K76,3018
1999,Mar,1999/03,Transport accidents,V01-V99,3455
1999,Mar,1999/03,Intentional self-harm,X60-X84,2464
1999,Apr,1999/04,Tuberculosis,A16-A19,80
1999,Apr,1999/04,Other bacterial diseases,A30-A49,2732
1999,Apr,1999/04,Viral hepatitis,B15-B19,397
1999,Apr,1999/04,Human immunodeficiency virus [HIV] disease,B20-B24,1213
1999,Apr,1999/04,Sequelae of infectious and parasitic diseases,B90-B94,143
1999,Apr,1999/04,Diabetes mellitus,E10-E14,5758
1999,Apr,1999/04,Malnutrition,E40-E46,340
1999,Apr,1999/04,Obesity and other hyperalimentation,E65-E68,229
1999,Apr,1999/04,Other degenerative diseases of the nervous system,G30-G31,3672
1999,Apr,1999/04,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1112
1999,Apr,1999/04,"Diseases of arteries, arterioles and capillaries",I70-I78,3449
1999,Apr,1999/04,Influenza and pneumonia,J09-J18,5394
1999,Apr,1999/04,Chronic lower respiratory diseases,J40-J47,10959
1999,Apr,1999/04,Diseases of liver,K70-K76,2723
1999,Apr,1999/04,Transport accidents,V01-V99,3454
1999,Apr,1999/04,Intentional self-harm,X60-X84,2473
1999,May,1999/05,Tuberculosis,A16-A19,71
1999,May,1999/05,Other bacterial diseases,A30-A49,2573
1999,May,1999/05,Viral hepatitis,B15-B19,425
1999,May,1999/05,Human immunodeficiency virus [HIV] disease,B20-B24,1253
1999,May,1999/05,Sequelae of infectious and parasitic diseases,B90-B94,124
1999,May,1999/05,Diabetes mellitus,E10-E14,5582
