date,vessels,comments
1/1/1901,2128,Vessels Cleared in Foreign Trade for United States
1/2/1901,1983,
1/3/1901,2206,Source:
1/4/1901,2362,https://fred.stlouisfed.org/series/M03022USM583NNBR
1/5/1901,2792,Accessed January 2024
1/6/1901,2742,
1/7/1901,3159,Suggested Citation:
1/8/1901,3291,"National Bureau of Economic Research, "
1/9/1901,2930,Vessels Cleared in Foreign Trade for United States 
1/10/1901,2935,"[M03022USM583NNBR], retrieved from FRED, "
1/11/1901,2663,Federal Reserve Bank of St. Louis; 
1/12/1901,2178,"https://fred.stlouisfed.org/series/M03022USM583NNBR, "
1/1/1902,1927,"January 21, 2024."
1/2/1902,1659,
1/3/1902,1868,
1/4/1902,2428,
1/5/1902,2688,
1/6/1902,2718,
1/7/1902,2982,
1/8/1902,3102,
1/9/1902,2878,
1/10/1902,2985,
1/11/1902,2586,
1/12/1902,2335,
1/1/1903,2088,
1/2/1903,1905,
1/3/1903,2193,
1/4/1903,2540,
1/5/1903,2716,
1/6/1903,2986,
1/7/1903,3278,
1/8/1903,3046,
1/9/1903,2895,
1/10/1903,2842,
1/11/1903,2561,
1/12/1903,2295,
1/1/1904,1902,
1/2/1904,1868,
1/3/1904,1994,
1/4/1904,2069,
1/5/1904,2433,
1/6/1904,2831,
1/7/1904,3028,
1/8/1904,3040,
1/9/1904,2978,
1/10/1904,2808,
1/11/1904,2552,
1/12/1904,2216,
1/1/1905,1943,
1/2/1905,1896,
1/3/1905,2332,
1/4/1905,2382,
1/5/1905,2847,
1/6/1905,3127,
1/7/1905,3130,
1/8/1905,3199,
1/9/1905,3118,
1/10/1905,2907,
1/11/1905,2784,
1/12/1905,2677,
1/1/1906,2467,
1/2/1906,2198,
1/3/1906,2432,
1/4/1906,2671,
1/5/1906,2864,
1/6/1906,3338,
1/7/1906,3341,
1/8/1906,3586,
1/9/1906,3270,
1/10/1906,3216,
1/11/1906,2992,
1/12/1906,2612,
1/1/1907,2500,
1/2/1907,2249,
1/3/1907,2561,
1/4/1907,2763,
1/5/1907,3303,
1/6/1907,3597,
1/7/1907,4051,
1/8/1907,4056,
1/9/1907,3384,
1/10/1907,3463,
1/11/1907,3332,
1/12/1907,3001,
1/1/1908,2835,
1/2/1908,2186,
1/3/1908,2444,
1/4/1908,2694,
