time_stamp,air_temp,date_code,hour,date,description,value
20220101T0000,42.008442,20220101,0,01/01/2022,location,"Basel, Switzerland"
20220101T0100,40.334442,20220101,100,01/01/2022,lat,47.75
20220101T0200,38.58844,20220101,200,01/01/2022,lon,7.5
20220101T0300,38.98444,20220101,300,01/01/2022,asl,363.653
20220101T0400,38.570442,20220101,400,01/01/2022,variable,Temperature
20220101T0500,37.598442,20220101,500,01/01/2022,unit,°F
20220101T0600,36.914444,20220101,600,01/01/2022,level,2 m elevation corrected
20220101T0700,36.51844,20220101,700,01/01/2022,resolution,hourly
20220101T0800,36.39244,20220101,800,01/01/2022,aggregation,None
20220101T0900,39.65044,20220101,900,01/01/2022,,
20220101T1000,43.75444,20220101,1000,01/01/2022,,
20220101T1100,46.92244,20220101,1100,01/01/2022,Source:,
20220101T1200,50.16244,20220101,1200,01/01/2022,https://www.meteoblue.com/en/weather/historyclimate/weatherarchive/melbourne_australia_2158177,
20220101T1300,52.358444,20220101,1300,01/01/2022,https://www.meteoblue.com/en/weather/historyclimate/weatherarchive/melbourne_australia_2158177?fcstlength=1y&year=2023&month=12,
20220101T1400,53.78044,20220101,1400,01/01/2022,https://www.meteoblue.com/en/user/order/historyplus,
20220101T1500,50.95444,20220101,1500,01/01/2022,https://www.meteoblue.com/en/weather/archive/export,
20220101T1600,45.14044,20220101,1600,01/01/2022,,
20220101T1700,42.78244,20220101,1700,01/01/2022,,
20220101T1800,42.44044,20220101,1800,01/01/2022,,
20220101T1900,41.306442,20220101,1900,01/01/2022,,
20220101T2000,40.082443,20220101,2000,01/01/2022,,
20220101T2100,39.03844,20220101,2100,01/01/2022,,
20220101T2200,38.42644,20220101,2200,01/01/2022,,
20220101T2300,38.15644,20220101,2300,01/01/2022,,
20220102T0000,37.18444,20220102,0,01/02/2022,,
20220102T0100,37.436443,20220102,100,01/02/2022,,
20220102T0200,36.24844,20220102,200,01/02/2022,,
20220102T0300,36.158443,20220102,300,01/02/2022,,
20220102T0400,36.284443,20220102,400,01/02/2022,,
20220102T0500,36.35644,20220102,500,01/02/2022,,
20220102T0600,36.64444,20220102,600,01/02/2022,,
20220102T0700,37.292442,20220102,700,01/02/2022,,
20220102T0800,38.40844,20220102,800,01/02/2022,,
20220102T0900,41.10844,20220102,900,01/02/2022,,
20220102T1000,43.77244,20220102,1000,01/02/2022,,
20220102T1100,47.01244,20220102,1100,01/02/2022,,
20220102T1200,49.91044,20220102,1200,01/02/2022,,
20220102T1300,52.862442,20220102,1300,01/02/2022,,
20220102T1400,53.87044,20220102,1400,01/02/2022,,
20220102T1500,53.636444,20220102,1500,01/02/2022,,
20220102T1600,52.28644,20220102,1600,01/02/2022,,
20220102T1700,51.33244,20220102,1700,01/02/2022,,
20220102T1800,51.18844,20220102,1800,01/02/2022,,
20220102T1900,51.800438,20220102,1900,01/02/2022,,
20220102T2000,53.096443,20220102,2000,01/02/2022,,
20220102T2100,54.60844,20220102,2100,01/02/2022,,
20220102T2200,54.03244,20220102,2200,01/02/2022,,
20220102T2300,54.14044,20220102,2300,01/02/2022,,
20220103T0000,54.12244,20220103,0,01/03/2022,,
20220103T0100,54.42844,20220103,100,01/03/2022,,
20220103T0200,54.42844,20220103,200,01/03/2022,,
20220103T0300,54.59044,20220103,300,01/03/2022,,
20220103T0400,54.26644,20220103,400,01/03/2022,,
20220103T0500,53.43844,20220103,500,01/03/2022,,
20220103T0600,53.13244,20220103,600,01/03/2022,,
20220103T0700,53.00644,20220103,700,01/03/2022,,
20220103T0800,53.00644,20220103,800,01/03/2022,,
20220103T0900,53.02444,20220103,900,01/03/2022,,
20220103T1000,53.24044,20220103,1000,01/03/2022,,
20220103T1100,53.45644,20220103,1100,01/03/2022,,
20220103T1200,53.942444,20220103,1200,01/03/2022,,
20220103T1300,54.26644,20220103,1300,01/03/2022,,
20220103T1400,54.194443,20220103,1400,01/03/2022,,
20220103T1500,54.08644,20220103,1500,01/03/2022,,
20220103T1600,53.67244,20220103,1600,01/03/2022,,
20220103T1700,53.348442,20220103,1700,01/03/2022,,
20220103T1800,52.71844,20220103,1800,01/03/2022,,
20220103T1900,52.556442,20220103,1900,01/03/2022,,
20220103T2000,52.430443,20220103,2000,01/03/2022,,
20220103T2100,52.556442,20220103,2100,01/03/2022,,
20220103T2200,52.070442,20220103,2200,01/03/2022,,
20220103T2300,52.59244,20220103,2300,01/03/2022,,
20220104T0000,52.52044,20220104,0,01/04/2022,,
20220104T0100,52.556442,20220104,100,01/04/2022,,
20220104T0200,53.51044,20220104,200,01/04/2022,,
20220104T0300,53.61844,20220104,300,01/04/2022,,
20220104T0400,54.17644,20220104,400,01/04/2022,,
20220104T0500,53.85244,20220104,500,01/04/2022,,
20220104T0600,53.834442,20220104,600,01/04/2022,,
20220104T0700,55.220444,20220104,700,01/04/2022,,
20220104T0800,56.69644,20220104,800,01/04/2022,,
20220104T0900,57.470444,20220104,900,01/04/2022,,
20220104T1000,59.55844,20220104,1000,01/04/2022,,
20220104T1100,60.65644,20220104,1100,01/04/2022,,
20220104T1200,61.250443,20220104,1200,01/04/2022,,
20220104T1300,59.126442,20220104,1300,01/04/2022,,
20220104T1400,56.084442,20220104,1400,01/04/2022,,
20220104T1500,55.454437,20220104,1500,01/04/2022,,
20220104T1600,55.886444,20220104,1600,01/04/2022,,
