ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,comments
1111 N HUMBOLDT,CHI010,41821,77,Counts of the number of speed violations in children's
1111 N HUMBOLDT,CHI010,41822,75,"safety zones at 1111 N. Humboldt, Chicago, Illinois."
1111 N HUMBOLDT,CHI010,41823,108,
1111 N HUMBOLDT,CHI010,41824,102,https://catalog.data.gov/dataset/speed-camera-violations
1111 N HUMBOLDT,CHI010,41825,90,Accessed 3/7/2024
1111 N HUMBOLDT,CHI010,41826,88,
1111 N HUMBOLDT,CHI010,41827,67,This dataset reflects the daily volume 
1111 N HUMBOLDT,CHI010,41828,80,of violations that have occurred in 
1111 N HUMBOLDT,CHI010,41829,65,Children's Safety Zones for each camera. 
1111 N HUMBOLDT,CHI010,41830,93,The data reflects violations that occurred 
1111 N HUMBOLDT,CHI010,41831,85,"from July 1, 2014 until present, minus the "
1111 N HUMBOLDT,CHI010,41832,83,most recent 14 days. This data may change 
1111 N HUMBOLDT,CHI010,41833,100,due to occasional time lags between the 
1111 N HUMBOLDT,CHI010,41834,68,capturing of a potential violation and the 
1111 N HUMBOLDT,CHI010,41835,81,processing and determination of a violation. 
1111 N HUMBOLDT,CHI010,41836,56,The most recent 14 days are not shown due 
1111 N HUMBOLDT,CHI010,41837,69,to revised data being submitted to the City 
1111 N HUMBOLDT,CHI010,41838,75,of Chicago. The reported violations are those 
1111 N HUMBOLDT,CHI010,41839,96,that have been collected by the camera and
1111 N HUMBOLDT,CHI010,41840,83,radar system and reviewed by two separate 
1111 N HUMBOLDT,CHI010,41841,84,"City contractors. In some instances, due to "
1111 N HUMBOLDT,CHI010,41842,77,the inability the registered owner of the 
1111 N HUMBOLDT,CHI010,41843,78,"offending vehicle, the violation may not be "
1111 N HUMBOLDT,CHI010,41844,76,"issued as a citation. However, this dataset "
1111 N HUMBOLDT,CHI010,41845,84,contains all violations regardless of whether 
1111 N HUMBOLDT,CHI010,41846,101,"a citation was issued, which provides an "
1111 N HUMBOLDT,CHI010,41847,92,accurate view into the Automated Speed 
1111 N HUMBOLDT,CHI010,41848,78,Enforcement Program violations taking place
1111 N HUMBOLDT,CHI010,41849,68,in Children's Safety Zones. 
1111 N HUMBOLDT,CHI010,41850,66,More information on the Safety Zone Program 
1111 N HUMBOLDT,CHI010,41851,95,can be found here:
1111 N HUMBOLDT,CHI010,41852,84,http://www.cityofchicago.org/city/en/depts/cdot/supp_info/children_s_safetyzoneporgramautomaticspeedenforcement.html. 
1111 N HUMBOLDT,CHI010,41853,111,The corresponding dataset for red light camera violations is 
1111 N HUMBOLDT,CHI010,41854,68,https://data.cityofchicago.org/id/spqx-js37.
1111 N HUMBOLDT,CHI010,41855,62,
1111 N HUMBOLDT,CHI010,41856,71,
1111 N HUMBOLDT,CHI010,41857,68,
1111 N HUMBOLDT,CHI010,41858,85,
1111 N HUMBOLDT,CHI010,41859,87,
1111 N HUMBOLDT,CHI010,41860,105,
1111 N HUMBOLDT,CHI010,41861,80,
1111 N HUMBOLDT,CHI010,41862,65,
1111 N HUMBOLDT,CHI010,41863,55,
1111 N HUMBOLDT,CHI010,41864,78,
1111 N HUMBOLDT,CHI010,41865,81,
1111 N HUMBOLDT,CHI010,41866,88,
1111 N HUMBOLDT,CHI010,41867,99,
1111 N HUMBOLDT,CHI010,41868,89,
1111 N HUMBOLDT,CHI010,41869,71,
1111 N HUMBOLDT,CHI010,41870,72,
1111 N HUMBOLDT,CHI010,41871,56,
1111 N HUMBOLDT,CHI010,41872,25,
1111 N HUMBOLDT,CHI010,41873,85,
1111 N HUMBOLDT,CHI010,41874,99,
1111 N HUMBOLDT,CHI010,41875,98,
1111 N HUMBOLDT,CHI010,41876,50,
1111 N HUMBOLDT,CHI010,41877,59,
1111 N HUMBOLDT,CHI010,41878,70,
1111 N HUMBOLDT,CHI010,41879,60,
1111 N HUMBOLDT,CHI010,41880,77,
1111 N HUMBOLDT,CHI010,41881,100,
1111 N HUMBOLDT,CHI010,41882,84,
1111 N HUMBOLDT,CHI010,41883,74,
1111 N HUMBOLDT,CHI010,41884,61,
1111 N HUMBOLDT,CHI010,41885,71,
1111 N HUMBOLDT,CHI010,41886,54,
1111 N HUMBOLDT,CHI010,41887,63,
1111 N HUMBOLDT,CHI010,41888,97,
1111 N HUMBOLDT,CHI010,41889,82,
1111 N HUMBOLDT,CHI010,41890,50,
1111 N HUMBOLDT,CHI010,41891,48,
1111 N HUMBOLDT,CHI010,41892,43,
1111 N HUMBOLDT,CHI010,41893,32,
1111 N HUMBOLDT,CHI010,41894,15,
1111 N HUMBOLDT,CHI010,41895,24,
1111 N HUMBOLDT,CHI010,41896,14,
1111 N HUMBOLDT,CHI010,41897,31,
1111 N HUMBOLDT,CHI010,41898,55,
1111 N HUMBOLDT,CHI010,41899,69,
1111 N HUMBOLDT,CHI010,41900,75,
1111 N HUMBOLDT,CHI010,41901,71,
1111 N HUMBOLDT,CHI010,41902,86,
1111 N HUMBOLDT,CHI010,41903,71,
1111 N HUMBOLDT,CHI010,41904,63,
1111 N HUMBOLDT,CHI010,41905,70,
1111 N HUMBOLDT,CHI010,41906,63,
1111 N HUMBOLDT,CHI010,41907,70,
1111 N HUMBOLDT,CHI010,41908,63,
1111 N HUMBOLDT,CHI010,41909,90,
1111 N HUMBOLDT,CHI010,41910,86,
1111 N HUMBOLDT,CHI010,41911,71,
1111 N HUMBOLDT,CHI010,41912,50,
1111 N HUMBOLDT,CHI010,41913,44,
1111 N HUMBOLDT,CHI010,41914,59,
1111 N HUMBOLDT,CHI010,41915,69,
1111 N HUMBOLDT,CHI010,41916,79,
1111 N HUMBOLDT,CHI010,41917,71,
1111 N HUMBOLDT,CHI010,41918,56,
