year,month,decimal date,date,monthly_avg
1959,1,1959.0411,1/1/1959,315.58
1959,2,1959.126,2/1/1959,316.48
1959,3,1959.2027,3/1/1959,316.65
1959,4,1959.2877,4/1/1959,317.72
1959,5,1959.3699,5/1/1959,318.29
1959,6,1959.4548,6/1/1959,318.15
1959,7,1959.537,7/1/1959,316.54
1959,8,1959.6219,8/1/1959,314.8
1959,9,1959.7068,9/1/1959,313.84
1959,10,1959.789,10/1/1959,313.33
1959,11,1959.874,11/1/1959,314.81
1959,12,1959.9562,12/1/1959,315.58
1960,1,1960.041,1/1/1960,316.43
1960,2,1960.1257,2/1/1960,316.98
1960,3,1960.2049,3/1/1960,317.58
1960,4,1960.2896,4/1/1960,319.03
1960,5,1960.3716,5/1/1960,320.04
1960,6,1960.4563,6/1/1960,319.59
1960,7,1960.5383,7/1/1960,318.18
1960,8,1960.623,8/1/1960,315.9
1960,9,1960.7077,9/1/1960,314.17
1960,10,1960.7896,10/1/1960,313.83
1960,11,1960.8743,11/1/1960,315
1960,12,1960.9563,12/1/1960,316.19
1961,1,1961.0411,1/1/1961,316.89
1961,2,1961.126,2/1/1961,317.7
1961,3,1961.2027,3/1/1961,318.54
1961,4,1961.2877,4/1/1961,319.48
1961,5,1961.3699,5/1/1961,320.58
1961,6,1961.4548,6/1/1961,319.77
1961,7,1961.537,7/1/1961,318.57
1961,8,1961.6219,8/1/1961,316.79
1961,9,1961.7068,9/1/1961,314.99
1961,10,1961.789,10/1/1961,315.31
1961,11,1961.874,11/1/1961,316.1
1961,12,1961.9562,12/1/1961,317.01
1962,1,1962.0411,1/1/1962,317.94
1962,2,1962.126,2/1/1962,318.55
1962,3,1962.2027,3/1/1962,319.68
1962,4,1962.2877,4/1/1962,320.57
1962,5,1962.3699,5/1/1962,321.02
1962,6,1962.4548,6/1/1962,320.62
1962,7,1962.537,7/1/1962,319.61
1962,8,1962.6219,8/1/1962,317.4
1962,9,1962.7068,9/1/1962,316.25
1962,10,1962.789,10/1/1962,315.42
1962,11,1962.874,11/1/1962,316.69
1962,12,1962.9562,12/1/1962,317.7
1963,1,1963.0411,1/1/1963,318.74
1963,2,1963.126,2/1/1963,319.07
1963,3,1963.2027,3/1/1963,319.86
1963,4,1963.2877,4/1/1963,321.38
1963,5,1963.3699,5/1/1963,322.25
1963,6,1963.4548,6/1/1963,321.48
1963,7,1963.537,7/1/1963,319.74
1963,8,1963.6219,8/1/1963,317.77
1963,9,1963.7068,9/1/1963,316.21
1963,10,1963.789,10/1/1963,315.99
1963,11,1963.874,11/1/1963,317.07
1963,12,1963.9562,12/1/1963,318.35
1964,1,1964.041,1/1/1964,319.57
1964,2,1964.1257,2/1/1964,320.01
1964,3,1964.2049,3/1/1964,320.74
1964,4,1964.2896,4/1/1964,321.84
1964,5,1964.3716,5/1/1964,322.26
1964,6,1964.4563,6/1/1964,321.89
1964,7,1964.5383,7/1/1964,320.44
1964,8,1964.623,8/1/1964,318.69
1964,9,1964.7077,9/1/1964,316.7
1964,10,1964.7896,10/1/1964,316.87
1964,11,1964.8743,11/1/1964,317.68
1964,12,1964.9563,12/1/1964,318.71
1965,1,1965.0411,1/1/1965,319.44
1965,2,1965.126,2/1/1965,320.44
1965,3,1965.2027,3/1/1965,320.89
1965,4,1965.2877,4/1/1965,322.14
1965,5,1965.3699,5/1/1965,322.17
1965,6,1965.4548,6/1/1965,321.87
1965,7,1965.537,7/1/1965,321.21
1965,8,1965.6219,8/1/1965,318.87
1965,9,1965.7068,9/1/1965,317.81
1965,10,1965.789,10/1/1965,317.3
1965,11,1965.874,11/1/1965,318.87
1965,12,1965.9562,12/1/1965,319.42
1966,1,1966.0411,1/1/1966,320.62
1966,2,1966.126,2/1/1966,321.6
1966,3,1966.2027,3/1/1966,322.39
1966,4,1966.2877,4/1/1966,323.7
1966,5,1966.3699,5/1/1966,324.08
1966,6,1966.4548,6/1/1966,323.75
1966,7,1966.537,7/1/1966,322.38
1966,8,1966.6219,8/1/1966,320.36
1966,9,1966.7068,9/1/1966,318.64
1966,10,1966.789,10/1/1966,318.1
1966,11,1966.874,11/1/1966,319.78
1966,12,1966.9562,12/1/1966,321.03
1967,1,1967.0411,1/1/1967,322.33
1967,2,1967.126,2/1/1967,322.5
1967,3,1967.2027,3/1/1967,323.04
1967,4,1967.2877,4/1/1967,324.42
1967,5,1967.3699,5/1/1967,325
1967,6,1967.4548,6/1/1967,324.09
1967,7,1967.537,7/1/1967,322.54
1967,8,1967.6219,8/1/1967,320.92
1967,9,1967.7068,9/1/1967,319.25
1967,10,1967.789,10/1/1967,319.39
1967,11,1967.874,11/1/1967,320.73
1967,12,1967.9562,12/1/1967,321.96
1968,1,1968.041,1/1/1968,322.57
1968,2,1968.1257,2/1/1968,323.15
1968,3,1968.2049,3/1/1968,323.89
1968,4,1968.2896,4/1/1968,325.02
1968,5,1968.3716,5/1/1968,325.57
1968,6,1968.4563,6/1/1968,325.36
1968,7,1968.5383,7/1/1968,324.14
1968,8,1968.623,8/1/1968,322.11
1968,9,1968.7077,9/1/1968,320.33
1968,10,1968.7896,10/1/1968,320.25
1968,11,1968.8743,11/1/1968,321.32
1968,12,1968.9563,12/1/1968,322.89
1969,1,1969.0411,1/1/1969,324
1969,2,1969.126,2/1/1969,324.42
1969,3,1969.2027,3/1/1969,325.63
1969,4,1969.2877,4/1/1969,326.66
1969,5,1969.3699,5/1/1969,327.38
1969,6,1969.4548,6/1/1969,326.71
1969,7,1969.537,7/1/1969,325.88
1969,8,1969.6219,8/1/1969,323.66
1969,9,1969.7068,9/1/1969,322.38
1969,10,1969.789,10/1/1969,321.78
1969,11,1969.874,11/1/1969,322.86
1969,12,1969.9562,12/1/1969,324.12
1970,1,1970.0411,1/1/1970,325.06
1970,2,1970.126,2/1/1970,325.98
1970,3,1970.2027,3/1/1970,326.93
1970,4,1970.2877,4/1/1970,328.13
1970,5,1970.3699,5/1/1970,328.08
1970,6,1970.4548,6/1/1970,327.67
1970,7,1970.537,7/1/1970,326.34
1970,8,1970.6219,8/1/1970,324.69
1970,9,1970.7068,9/1/1970,323.1
1970,10,1970.789,10/1/1970,323.06
1970,11,1970.874,11/1/1970,324.01
1970,12,1970.9562,12/1/1970,325.13
1971,1,1971.0411,1/1/1971,326.17
1971,2,1971.126,2/1/1971,326.68
1971,3,1971.2027,3/1/1971,327.17
1971,4,1971.2877,4/1/1971,327.79
1971,5,1971.3699,5/1/1971,328.93
1971,6,1971.4548,6/1/1971,328.57
1971,7,1971.537,7/1/1971,327.36
1971,8,1971.6219,8/1/1971,325.43
1971,9,1971.7068,9/1/1971,323.36
1971,10,1971.789,10/1/1971,323.56
1971,11,1971.874,11/1/1971,324.8
1971,12,1971.9562,12/1/1971,326.01
1972,1,1972.041,1/1/1972,326.77
1972,2,1972.1257,2/1/1972,327.63
1972,3,1972.2049,3/1/1972,327.75
1972,4,1972.2896,4/1/1972,329.72
1972,5,1972.3716,5/1/1972,330.07
1972,6,1972.4563,6/1/1972,329.09
1972,7,1972.5383,7/1/1972,328.04
1972,8,1972.623,8/1/1972,326.32
1972,9,1972.7077,9/1/1972,324.84
1972,10,1972.7896,10/1/1972,325.2
1972,11,1972.8743,11/1/1972,326.5
1972,12,1972.9563,12/1/1972,327.55
1973,1,1973.0411,1/1/1973,328.55
1973,2,1973.126,2/1/1973,329.56
1973,3,1973.2027,3/1/1973,330.3
1973,4,1973.2877,4/1/1973,331.5
1973,5,1973.3699,5/1/1973,332.48
1973,6,1973.4548,6/1/1973,332.07
1973,7,1973.537,7/1/1973,330.87
1973,8,1973.6219,8/1/1973,329.31
1973,9,1973.7068,9/1/1973,327.51
1973,10,1973.789,10/1/1973,327.18
1973,11,1973.874,11/1/1973,328.16
1973,12,1973.9562,12/1/1973,328.64
1974,1,1974.0411,1/1/1974,329.35
1974,2,1974.126,2/1/1974,330.71
1974,3,1974.2027,3/1/1974,331.48
1974,4,1974.2877,4/1/1974,332.65
1974,5,1974.375,5/1/1974,333.18
1974,6,1974.4583,6/1/1974,332.2
1974,7,1974.5417,7/1/1974,331.07
1974,8,1974.625,8/1/1974,329.15
1974,9,1974.7083,9/1/1974,327.33
1974,10,1974.7917,10/1/1974,327.28
1974,11,1974.875,11/1/1974,328.31
1974,12,1974.9583,12/1/1974,329.58
1975,1,1975.0417,1/1/1975,330.73
1975,2,1975.125,2/1/1975,331.46
1975,3,1975.2083,3/1/1975,331.94
1975,4,1975.2917,4/1/1975,333.11
1975,5,1975.375,5/1/1975,333.95
1975,6,1975.4583,6/1/1975,333.42
1975,7,1975.5417,7/1/1975,331.97
1975,8,1975.625,8/1/1975,329.95
1975,9,1975.7083,9/1/1975,328.5
1975,10,1975.7917,10/1/1975,328.36
1975,11,1975.875,11/1/1975,329.38
1975,12,1975.9583,12/1/1975,330.77
1976,1,1976.0417,1/1/1976,331.56
1976,2,1976.125,2/1/1976,332.74
1976,3,1976.2083,3/1/1976,333.36
1976,4,1976.2917,4/1/1976,334.74
1976,5,1976.375,5/1/1976,334.72
1976,6,1976.4583,6/1/1976,333.98
1976,7,1976.5417,7/1/1976,333.08
1976,8,1976.625,8/1/1976,330.68
1976,9,1976.7083,9/1/1976,328.96
1976,10,1976.7917,10/1/1976,328.72
1976,11,1976.875,11/1/1976,330.16
1976,12,1976.9583,12/1/1976,331.62
1977,1,1977.0417,1/1/1977,332.68
1977,2,1977.125,2/1/1977,333.17
1977,3,1977.2083,3/1/1977,334.96
1977,4,1977.2917,4/1/1977,336.14
1977,5,1977.375,5/1/1977,336.93
1977,6,1977.4583,6/1/1977,336.17
1977,7,1977.5417,7/1/1977,334.89
1977,8,1977.625,8/1/1977,332.56
1977,9,1977.7083,9/1/1977,331.29
1977,10,1977.7917,10/1/1977,331.28
1977,11,1977.875,11/1/1977,332.46
1977,12,1977.9583,12/1/1977,333.6
1978,1,1978.0417,1/1/1978,334.94
1978,2,1978.125,2/1/1978,335.26
1978,3,1978.2083,3/1/1978,336.66
1978,4,1978.2917,4/1/1978,337.69
1978,5,1978.375,5/1/1978,338.02
1978,6,1978.4583,6/1/1978,338.01
1978,7,1978.5417,7/1/1978,336.5
1978,8,1978.625,8/1/1978,334.42
1978,9,1978.7083,9/1/1978,332.36
1978,10,1978.7917,10/1/1978,332.45
1978,11,1978.875,11/1/1978,333.76
1978,12,1978.9583,12/1/1978,334.91
1979,1,1979.0417,1/1/1979,336.14
1979,2,1979.125,2/1/1979,336.69
1979,3,1979.2083,3/1/1979,338.27
1979,4,1979.2917,4/1/1979,338.82
1979,5,1979.375,5/1/1979,339.24
1979,6,1979.4583,6/1/1979,339.26
1979,7,1979.5417,7/1/1979,337.54
1979,8,1979.625,8/1/1979,335.72
1979,9,1979.7083,9/1/1979,333.97
1979,10,1979.7917,10/1/1979,334.24
1979,11,1979.875,11/1/1979,335.32
1979,12,1979.9583,12/1/1979,336.81
1980,1,1980.0417,1/1/1980,337.9
1980,2,1980.125,2/1/1980,338.34
1980,3,1980.2083,3/1/1980,340.07
1980,4,1980.2917,4/1/1980,340.93
1980,5,1980.375,5/1/1980,341.45
1980,6,1980.4583,6/1/1980,341.36
1980,7,1980.5417,7/1/1980,339.45
1980,8,1980.625,8/1/1980,337.67
1980,9,1980.7083,9/1/1980,336.25
1980,10,1980.7917,10/1/1980,336.14
1980,11,1980.875,11/1/1980,337.3
1980,12,1980.9583,12/1/1980,338.29
1981,1,1981.0417,1/1/1981,339.29
1981,2,1981.125,2/1/1981,340.55
1981,3,1981.2083,3/1/1981,341.63
1981,4,1981.2917,4/1/1981,342.6
1981,5,1981.375,5/1/1981,343.03
1981,6,1981.4583,6/1/1981,342.54
1981,7,1981.5417,7/1/1981,340.82
1981,8,1981.625,8/1/1981,338.48
1981,9,1981.7083,9/1/1981,336.95
1981,10,1981.7917,10/1/1981,337.05
1981,11,1981.875,11/1/1981,338.57
1981,12,1981.9583,12/1/1981,339.91
1982,1,1982.0417,1/1/1982,340.93
1982,2,1982.125,2/1/1982,341.76
1982,3,1982.2083,3/1/1982,342.77
1982,4,1982.2917,4/1/1982,343.96
1982,5,1982.375,5/1/1982,344.77
1982,6,1982.4583,6/1/1982,343.88
1982,7,1982.5417,7/1/1982,342.42
1982,8,1982.625,8/1/1982,340.24
1982,9,1982.7083,9/1/1982,338.38
1982,10,1982.7917,10/1/1982,338.41
1982,11,1982.875,11/1/1982,339.44
1982,12,1982.9583,12/1/1982,340.78
1983,1,1983.0417,1/1/1983,341.57
1983,2,1983.125,2/1/1983,342.79
1983,3,1983.2083,3/1/1983,343.37
1983,4,1983.2917,4/1/1983,345.39
1983,5,1983.375,5/1/1983,346.14
1983,6,1983.4583,6/1/1983,345.76
1983,7,1983.5417,7/1/1983,344.32
1983,8,1983.625,8/1/1983,342.51
1983,9,1983.7083,9/1/1983,340.46
1983,10,1983.7917,10/1/1983,340.53
1983,11,1983.875,11/1/1983,341.79
1983,12,1983.9583,12/1/1983,343.2
