date,constructionequip_ord,constructionequip_ship
1/1/1993,1142,1108
2/1/1993,1073,1135
3/1/1993,1136,1187
4/1/1993,1192,1195
5/1/1993,1284,1224
6/1/1993,1238,1195
7/1/1993,1329,1238
8/1/1993,1291,1103
9/1/1993,1287,1221
10/1/1993,1342,1324
11/1/1993,1230,1306
12/1/1993,1325,1238
1/1/1994,1370,1335
2/1/1994,1438,1313
3/1/1994,1420,1317
4/1/1994,1455,1284
5/1/1994,1393,1338
6/1/1994,1476,1347
7/1/1994,1475,1387
8/1/1994,1337,1398
9/1/1994,1436,1420
10/1/1994,1453,1464
11/1/1994,1506,1457
12/1/1994,1545,1510
1/1/1995,1577,1533
2/1/1995,1470,1556
3/1/1995,1554,1490
4/1/1995,1536,1579
5/1/1995,1474,1527
6/1/1995,1433,1473
7/1/1995,1502,1516
8/1/1995,1577,1487
9/1/1995,1822,1506
10/1/1995,2274,1540
11/1/1995,1553,1538
12/1/1995,1964,1739
1/1/1996,1550,1564
2/1/1996,1729,1528
3/1/1996,1592,1639
4/1/1996,1624,1571
5/1/1996,1699,1619
6/1/1996,1782,1703
7/1/1996,1708,1619
8/1/1996,1636,1659
9/1/1996,1660,1724
10/1/1996,1172,1672
11/1/1996,1783,1717
12/1/1996,1740,1867
1/1/1997,1720,1663
2/1/1997,1663,1790
3/1/1997,1917,1801
4/1/1997,1868,1854
5/1/1997,1775,1817
6/1/1997,1793,1792
7/1/1997,1886,1822
8/1/1997,1955,1872
9/1/1997,1985,1875
10/1/1997,1901,1942
11/1/1997,1655,1966
12/1/1997,2229,1960
1/1/1998,2031,2006
2/1/1998,2171,2023
3/1/1998,1836,1976
4/1/1998,1852,1966
5/1/1998,1967,1989
6/1/1998,2075,2074
7/1/1998,2025,2109
8/1/1998,2022,2124
9/1/1998,1803,2056
10/1/1998,1924,1993
11/1/1998,1695,1968
12/1/1998,2212,1762
1/1/1999,2049,1865
2/1/1999,1801,1859
3/1/1999,1893,1934
4/1/1999,1815,1800
5/1/1999,1660,1785
6/1/1999,1604,1791
7/1/1999,1615,1741
8/1/1999,1590,1743
9/1/1999,1747,1818
