Record Date,Country,Currency,Country - Currency Description,Exchange Rate,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number,comments
12/31/2023,Canada,Dollar,Canada-Dollar,1.326,12/31/2023,27,2024,1,2023,4,12,31,Quarterly exchange rate:
9/30/2023,Canada,Dollar,Canada-Dollar,1.343,9/30/2023,30,2023,4,2023,3,9,30,1 USD to CAD (Canadian Dollars)
6/30/2023,Canada,Dollar,Canada-Dollar,1.326,6/30/2023,30,2023,3,2023,2,6,30,
3/31/2023,Canada,Dollar,Canada-Dollar,1.355,3/31/2023,33,2023,2,2023,1,3,31,Fiscal Data
12/31/2022,Canada,Dollar,Canada-Dollar,1.354,12/31/2022,30,2023,1,2022,4,12,31,Treasury Reporting Rates of Exchange
9/30/2022,Canada,Dollar,Canada-Dollar,1.374,9/30/2022,31,2022,4,2022,3,9,30,Treasury.gov
6/30/2022,Canada,Dollar,Canada-Dollar,1.292,6/30/2022,32,2022,3,2022,2,6,30,
3/31/2022,Canada,Dollar,Canada-Dollar,1.252,3/31/2022,30,2022,2,2022,1,3,31,Source
12/31/2021,Canada,Dollar,Canada-Dollar,1.277,12/31/2021,34,2022,1,2021,4,12,31,https://fiscaldata.treasury.gov/datasets/treasury-reporting-rates-exchange/treasury-reporting-rates-of-exchange
9/30/2021,Canada,Dollar,Canada-Dollar,1.274,9/30/2021,33,2021,4,2021,3,9,30,Accessed 20 Feb 2024
6/30/2021,Canada,Dollar,Canada-Dollar,1.239,6/30/2021,30,2021,3,2021,2,6,30,
3/31/2021,Canada,Dollar,Canada-Dollar,1.26,3/31/2021,31,2021,2,2021,1,3,31,
12/31/2020,Canada,Dollar,Canada-Dollar,1.275,12/31/2020,29,2021,1,2020,4,12,31,
9/30/2020,Canada,Dollar,Canada-Dollar,1.338,9/30/2020,32,2020,4,2020,3,9,30,
6/30/2020,Canada,Dollar,Canada-Dollar,1.368,6/30/2020,31,2020,3,2020,2,6,30,
3/31/2020,Canada,Dollar,Canada-Dollar,1.426,3/31/2020,31,2020,2,2020,1,3,31,
12/31/2019,Canada,Dollar,Canada-Dollar,1.3,12/31/2019,31,2020,1,2019,4,12,31,
12/31/2014,Canada,Dollar,Canada-Dollar,1.158,12/31/2014,31,2015,1,2014,4,12,31,
9/30/2014,Canada,Dollar,Canada-Dollar,1.12,9/30/2014,31,2014,4,2014,3,9,30,
6/30/2014,Canada,Dollar,Canada-Dollar,1.068,6/30/2014,31,2014,3,2014,2,6,30,
3/31/2014,Canada,Dollar,Canada-Dollar,1.11,3/31/2014,31,2014,2,2014,1,3,31,
12/31/2013,Canada,Dollar,Canada-Dollar,1.064,12/31/2013,31,2014,1,2013,4,12,31,
9/30/2013,Canada,Dollar,Canada-Dollar,1.03,9/30/2013,31,2013,4,2013,3,9,30,
6/30/2013,Canada,Dollar,Canada-Dollar,1.05,6/30/2013,31,2013,3,2013,2,6,30,
3/31/2013,Canada,Dollar,Canada-Dollar,1.02,3/31/2013,31,2013,2,2013,1,3,31,
12/31/2012,Canada,Dollar,Canada-Dollar,0.995,12/31/2012,31,2013,1,2012,4,12,31,
9/30/2012,Canada,Dollar,Canada-Dollar,0.979,9/30/2012,31,2012,4,2012,3,9,30,
6/30/2012,Canada,Dollar,Canada-Dollar,1.03,6/30/2012,31,2012,3,2012,2,6,30,
3/31/2012,Canada,Dollar,Canada-Dollar,0.996,3/31/2012,31,2012,2,2012,1,3,31,
