date,exuseu
1/8/1999,1.1687
1/15/1999,1.1612
1/22/1999,1.1586
1/29/1999,1.1478
2/5/1999,1.1312
2/12/1999,1.1302
2/19/1999,1.1179
2/26/1999,1.1013
3/5/1999,1.0875
3/12/1999,1.092
3/19/1999,1.0955
3/26/1999,1.0874
4/2/1999,1.0764
4/9/1999,1.079
4/16/1999,1.0761
4/23/1999,1.0616
4/30/1999,1.0602
5/7/1999,1.069
5/14/1999,1.069
5/21/1999,1.0638
5/28/1999,1.0502
6/4/1999,1.0372
6/11/1999,1.0435
6/18/1999,1.0366
6/25/1999,1.0356
7/2/1999,1.03
7/9/1999,1.0214
7/16/1999,1.0191
7/23/1999,1.0431
7/30/1999,1.0667
8/6/1999,1.0734
8/13/1999,1.0662
8/20/1999,1.0577
8/27/1999,1.0484
9/3/1999,1.058
9/10/1999,1.0529
9/17/1999,1.0402
9/24/1999,1.045
10/1/1999,1.0583
10/8/1999,1.069
10/15/1999,1.0795
10/22/1999,1.0789
10/29/1999,1.0563
11/5/1999,1.0465
11/12/1999,1.0379
11/19/1999,1.0328
11/26/1999,1.0225
12/3/1999,1.0055
12/10/1999,1.0211
12/17/1999,1.0102
12/24/1999,1.0106
12/31/1999,1.0069
1/7/2000,1.0283
1/14/2000,1.0251
1/21/2000,1.0117
1/28/2000,0.9945
2/4/2000,0.9781
2/11/2000,0.9854
2/18/2000,0.9834
2/25/2000,0.9943
3/3/2000,0.965
3/10/2000,0.9616
3/17/2000,0.9678
3/24/2000,0.9687
3/31/2000,0.959
4/7/2000,0.9593
4/14/2000,0.9564
4/21/2000,0.943
4/28/2000,0.921
5/5/2000,0.8988
5/12/2000,0.9034
5/19/2000,0.9002
5/26/2000,0.9109
6/2/2000,0.9345
6/9/2000,0.9543
6/16/2000,0.9586
6/23/2000,0.9478
6/30/2000,0.9466
7/7/2000,0.9521
7/14/2000,0.9426
7/21/2000,0.9309
7/28/2000,0.9339
8/4/2000,0.915
8/11/2000,0.9048
8/18/2000,0.9107
8/25/2000,0.9002
9/1/2000,0.8953
9/8/2000,0.8746
9/15/2000,0.861
9/22/2000,0.857
9/29/2000,0.8804
10/6/2000,0.8728
10/13/2000,0.8652
10/20/2000,0.8439
10/27/2000,0.8335
11/3/2000,0.8542
11/10/2000,0.8585
11/17/2000,0.856
11/24/2000,0.8437
12/1/2000,0.8617
12/8/2000,0.8857
12/15/2000,0.8828
12/22/2000,0.9046
12/29/2000,0.931
1/5/2001,0.948
1/12/2001,0.9455
1/19/2001,0.9372
1/26/2001,0.9291
2/2/2001,0.9299
2/9/2001,0.9296
2/16/2001,0.9181
2/23/2001,0.9084
3/2/2001,0.9213
3/9/2001,0.9294
3/16/2001,0.9111
3/23/2001,0.8963
3/30/2001,0.887
4/6/2001,0.8949
4/13/2001,0.8913
4/20/2001,0.8887
4/27/2001,0.8963
5/4/2001,0.8912
5/11/2001,0.8832
5/18/2001,0.8796
5/25/2001,0.8633
6/1/2001,0.8508
6/8/2001,0.8483
6/15/2001,0.8533
6/22/2001,0.8558
6/29/2001,0.856
7/6/2001,0.8442
7/13/2001,0.854
7/20/2001,0.864
7/27/2001,0.8748
8/3/2001,0.879
8/10/2001,0.8836
8/17/2001,0.9085
8/24/2001,0.9144
8/31/2001,0.9108
9/7/2001,0.8938
9/14/2001,0.9086
9/21/2001,0.9219
9/28/2001,0.9174
10/5/2001,0.916
10/12/2001,0.9089
10/19/2001,0.905
10/26/2001,0.8922
11/2/2001,0.9034
11/9/2001,0.8956
11/16/2001,0.8826
11/23/2001,0.8791
11/30/2001,0.8865
12/7/2001,0.8894
12/14/2001,0.8951
12/21/2001,0.8978
12/28/2001,0.8804
1/4/2002,0.8968
1/11/2002,0.8914
1/18/2002,0.8865
1/25/2002,0.8778
2/1/2002,0.8621
2/8/2002,0.8693
2/15/2002,0.8744
2/22/2002,0.8735
3/1/2002,0.8669
3/8/2002,0.8745
3/15/2002,0.8787
3/22/2002,0.8819
3/29/2002,0.8738
4/5/2002,0.8795
4/12/2002,0.8792
4/19/2002,0.8862
4/26/2002,0.8929
5/3/2002,0.9051
5/10/2002,0.9112
5/17/2002,0.9103
5/24/2002,0.9224
5/31/2002,0.9328
6/7/2002,0.9422
6/14/2002,0.945
6/21/2002,0.9564
6/28/2002,0.9809
7/5/2002,0.982
7/12/2002,0.9906
7/19/2002,1.0092
7/26/2002,0.9971
8/2/2002,0.9836
8/9/2002,0.9718
8/16/2002,0.9817
8/23/2002,0.9755
8/30/2002,0.98
9/6/2002,0.9909
9/13/2002,0.9759
9/20/2002,0.9771
9/27/2002,0.9792
10/4/2002,0.9854
10/11/2002,0.9839
10/18/2002,0.9765
10/25/2002,0.9759
11/1/2002,0.9876
11/8/2002,1.003
11/15/2002,1.007
11/22/2002,1.0033
11/29/2002,0.9919
12/6/2002,0.9993
12/13/2002,1.0132
12/20/2002,1.0243
12/27/2002,1.0323
1/3/2003,1.0431
1/10/2003,1.0467
1/17/2003,1.0582
1/24/2003,1.075
1/31/2003,1.0809
2/7/2003,1.0821
2/14/2003,1.0767
2/21/2003,1.0765
2/28/2003,1.0781
3/7/2003,1.0939
3/14/2003,1.0942
3/21/2003,1.0596
3/28/2003,1.0693
4/4/2003,1.0803
4/11/2003,1.0716
