quarter,gpd_millions,year_over_year
1/1/1947,58497,
4/1/1947,60672,
7/1/1947,62196,
10/1/1947,68250,
1/1/1948,64258,1.098483683
4/1/1948,66539,1.09670029
7/1/1948,69378,1.115473664
10/1/1948,74295,1.088571429
1/1/1949,66185,1.029988484
4/1/1949,66340,0.997009273
7/1/1949,68625,0.989146415
10/1/1949,71322,0.959983848
1/1/1950,68032,1.027906625
4/1/1950,70872,1.068314742
7/1/1950,77178,1.12463388
10/1/1950,83746,1.1741959
1/1/1951,81603,1.199479657
4/1/1951,84645,1.194336268
7/1/1951,87586,1.134857084
10/1/1951,93076,1.111408306
1/1/1952,87610,1.07361249
4/1/1952,88913,1.050422352
7/1/1952,91270,1.042061517
10/1/1952,99548,1.069534574
1/1/1953,94008,1.073028193
4/1/1953,97392,1.095362883
7/1/1953,96695,1.059439027
10/1/1953,101121,1.015801422
1/1/1954,93581,0.995457833
4/1/1954,96090,0.986631345
7/1/1954,96905,1.002171777
10/1/1954,103980,1.028273059
1/1/1955,99833,1.066808433
4/1/1955,104406,1.086543865
7/1/1955,107058,1.104772716
10/1/1955,114181,1.098105405
1/1/1956,106892,1.070708082
4/1/1956,110356,1.056989062
7/1/1956,111816,1.044443199
10/1/1956,120287,1.053476498
1/1/1957,113459,1.061435842
4/1/1957,117125,1.061337852
7/1/1957,119108,1.065214281
10/1/1957,124349,1.033769235
1/1/1958,113202,0.997734865
4/1/1958,117802,1.005780149
7/1/1958,120079,1.008152265
10/1/1958,130149,1.046642916
1/1/1959,123707,1.092798714
4/1/1959,131641,1.117476783
7/1/1959,130194,1.084236211
10/1/1959,136112,1.045816718
1/1/1960,131022,1.059131658
4/1/1960,136488,1.036819836
7/1/1960,135021,1.037075441
10/1/1960,139850,1.027462678
1/1/1961,132138,1.008517654
4/1/1961,140168,1.026962077
7/1/1961,140509,1.040645529
10/1/1961,149394,1.068244548
1/1/1962,144274,1.091843376
4/1/1962,150952,1.076936248
7/1/1962,150614,1.071917101
10/1/1962,158078,1.058128171
1/1/1963,150949,1.046266132
4/1/1963,158886,1.052559754
7/1/1963,159597,1.05964253
10/1/1963,168017,1.062874024
1/1/1964,162413,1.07594618
4/1/1964,170097,1.070560024
7/1/1964,171593,1.07516432
10/1/1964,180356,1.073438997
1/1/1965,173462,1.068030269
4/1/1965,183818,1.080665738
7/1/1965,185525,1.081192123
10/1/1965,199483,1.106051365
1/1/1966,191022,1.101232547
4/1/1966,201635,1.096927396
7/1/1966,203439,1.096558415
10/1/1966,217316,1.089396089
1/1/1967,204098,1.068452848
4/1/1967,213246,1.057584249
7/1/1967,214456,1.054153825
10/1/1967,228140,1.049807653
1/1/1968,218405,1.070098678
4/1/1968,234781,1.100986654
7/1/1968,235737,1.099232477
10/1/1968,251704,1.103287455
1/1/1969,238912,1.093894371
4/1/1969,254764,1.085113361
7/1/1969,255302,1.082995033
10/1/1969,268638,1.067277437
1/1/1970,253998,1.063144589
4/1/1970,268532,1.054042172
7/1/1970,268019,1.049811596
10/1/1970,282764,1.052583774
1/1/1971,273782,1.077890377
4/1/1971,291216,1.084474104
7/1/1971,291043,1.085904358
10/1/1971,308808,1.092105077
1/1/1972,299204,1.092854899
4/1/1972,318894,1.095042855
7/1/1972,319052,1.096236639
10/1/1972,341962,1.107361208
1/1/1973,333807,1.115650192
4/1/1973,354356,1.111203096
7/1/1973,354349,1.110630869
10/1/1973,382865,1.119612706
1/1/1974,361840,1.083979665
4/1/1974,384120,1.083994627
7/1/1974,385975,1.089250993
10/1/1974,413310,1.07951889
1/1/1975,391688,1.082489498
4/1/1975,414253,1.07844684
7/1/1975,423323,1.096762744
10/1/1975,455641,1.102419491
1/1/1976,441178,1.126350565
4/1/1976,465343,1.123330429
7/1/1976,466535,1.102078082
10/1/1976,500358,1.098140861
1/1/1977,481996,1.092520479
4/1/1977,515010,1.106732023
7/1/1977,526844,1.129270044
10/1/1977,557979,1.115159546
1/1/1978,534990,1.109946971
4/1/1978,583171,1.132348886
7/1/1978,596032,1.131325402
10/1/1978,637402,1.142340482
1/1/1979,618499,1.156094506
4/1/1979,648326,1.111725377
7/1/1979,658706,1.105152072
10/1/1979,701800,1.101032002
1/1/1980,683564,1.10519823
4/1/1980,698570,1.077498049
7/1/1980,707671,1.074335136
10/1/1980,767505,1.093623539
1/1/1981,758799,1.110062847
4/1/1981,791530,1.133071847
7/1/1981,811659,1.14694399
10/1/1981,845052,1.101037778
1/1/1982,803715,1.059193541
4/1/1982,831458,1.050444077
7/1/1982,834528,1.028175625
10/1/1982,874081,1.034351732
1/1/1983,850380,1.058061626
4/1/1983,895388,1.076889031
7/1/1983,916516,1.098244756
10/1/1983,971755,1.111744793
1/1/1984,962905,1.132323197
4/1/1984,1002687,1.1198352
7/1/1984,1011924,1.104098565
10/1/1984,1060096,1.090908717
1/1/1985,1033006,1.072801574
4/1/1985,1073981,1.071102946
7/1/1985,1090905,1.078050328
10/1/1985,1141088,1.076400628
1/1/1986,1104498,1.06920773
4/1/1986,1138030,1.059636995
7/1/1986,1148813,1.053082532
10/1/1986,1188288,1.041364032
1/1/1987,1148876,1.040179339
4/1/1987,1205023,1.058867517
7/1/1987,1218373,1.060549454
10/1/1987,1282952,1.079664189
1/1/1988,1236534,1.076298922
4/1/1988,1297399,1.076659118
7/1/1988,1319724,1.083185527
10/1/1988,1382783,1.077813511
1/1/1989,1346036,1.088555592
4/1/1989,1405607,1.083403795
7/1/1989,1418867,1.075124041
10/1/1989,1471062,1.063841543
1/1/1990,1434375,1.065629002
4/1/1990,1490965,1.060726789
7/1/1990,1499694,1.056965875
10/1/1990,1538100,1.045571159
1/1/1991,1475270,1.028510675
4/1/1991,1532427,1.027808835
7/1/1991,1548990,1.032870706
10/1/1991,1601443,1.041182628
1/1/1992,1554707,1.053845737
4/1/1992,1619581,1.056873182
7/1/1992,1640744,1.059234727
10/1/1992,1705290,1.064845892
1/1/1993,1638122,1.053653196
4/1/1993,1701825,1.050781035
7/1/1993,1724703,1.051171298
10/1/1993,1793863,1.051940139
1/1/1994,1736453,1.060026665
4/1/1994,1809569,1.063310857
7/1/1994,1837412,1.065349802
10/1/1994,1903751,1.061257744
1/1/1995,1835136,1.056830217
4/1/1995,1897414,1.048544709
7/1/1995,1922816,1.046480593
10/1/1995,1984341,1.042332217
1/1/1996,1925298,1.049130964
4/1/1996,2005097,1.056752506
7/1/1996,2035136,1.058414326
10/1/1996,2107536,1.062083583
1/1/1997,2043501,1.061394652
4/1/1997,2129607,1.062096746
7/1/1997,2166479,1.064537702
10/1/1997,2237891,1.06185185
1/1/1998,2160728,1.057365766
4/1/1998,2249908,1.056489765
7/1/1998,2281422,1.053055211
10/1/1998,2370677,1.05933533
1/1/1999,2293136,1.061279347
4/1/1999,2388422,1.061564295
7/1/1999,2423648,1.062340943
10/1/1999,2524828,1.065024042
1/1/2000,2448892,1.067922705
4/1/2000,2569266,1.075716938
7/1/2000,2577927,1.063655696
10/1/2000,2655636,1.051808678
1/1/2001,2562488,1.046386692
4/1/2001,2656407,1.033916691
7/1/2001,2651366,1.028487618
10/1/2001,2711715,1.021116975
1/1/2002,2631119,1.026782955
4/1/2002,2721842,1.024632897
7/1/2002,2751463,1.037752992
10/1/2002,2824686,1.041660351
1/1/2003,2743734,1.042801181
4/1/2003,2831413,1.040256194
7/1/2003,2886905,1.049225448
10/1/2003,2994399,1.060082076
1/1/2004,2924602,1.065920384
4/1/2004,3032386,1.070979755
7/1/2004,3069688,1.063314518
10/1/2004,3190521,1.065496282
1/1/2005,3111329,1.063846978
4/1/2005,3232051,1.06584419
7/1/2005,3306451,1.077129337
10/1/2005,3389367,1.06232399
1/1/2006,3333266,1.071331897
4/1/2006,3460990,1.070833969
7/1/2006,3463694,1.047556428
10/1/2006,3557633,1.049645258
1/1/2007,3482006,1.044622901
4/1/2007,3613882,1.044175799
7/1/2007,3637993,1.050321709
10/1/2007,3740350,1.051359148
1/1/2008,3657487,1.050396524
4/1/2008,3715835,1.028211491
7/1/2008,3698182,1.016544562
10/1/2008,3698360,0.988773778
1/1/2009,3522117,0.962988248
4/1/2009,3598010,0.968291111
7/1/2009,3623204,0.979725714
10/1/2009,3734738,1.009836252
1/1/2010,3602418,1.022799072
4/1/2010,3755370,1.043735287
7/1/2010,3793867,1.047102785
10/1/2010,3897315,1.043531032
1/1/2011,3764835,1.045085551
4/1/2011,3893028,1.036656308
7/1/2011,3927583,1.035245305
10/1/2011,4014288,1.03001374
1/1/2012,3960259,1.05190772
4/1/2012,4047165,1.039593088
7/1/2012,4086346,1.04042257
10/1/2012,4160201,1.036348413
1/1/2013,4074333,1.028804682
4/1/2013,4184244,1.033870376
7/1/2013,4259404,1.042350305
10/1/2013,4362704,1.048676254
1/1/2014,4220258,1.035815678
4/1/2014,4376828,1.046025997
7/1/2014,4465484,1.048382356
10/1/2014,4545567,1.04191506
1/1/2015,4411435,1.045299837
4/1/2015,4580499,1.046533928
7/1/2015,4625898,1.035923094
10/1/2015,4677188,1.028955904
1/1/2016,4521822,1.025022923
4/1/2016,4690281,1.023967258
7/1/2016,4746661,1.02610585
10/1/2016,4840483,1.034913072
1/1/2017,4674704,1.033809823
4/1/2017,4889678,1.042512805
7/1/2017,4958224,1.04457091
10/1/2017,5089495,1.051443627
1/1/2018,4962408,1.061544859
4/1/2018,5161541,1.055599367
7/1/2018,5221627,1.053124466
10/1/2018,5310940,1.043510211
