day,movies,comments
1/1/2023,78,"Google Trends data for searches of ""Movies"""
1/2/2023,69,
1/3/2023,49,https://trends.google.com/trends/explore?date=2023-07-01%202024-03-05&geo=US&q=movies&hl=en
1/4/2023,46,Accessed 3/5/2024
1/5/2023,44,
1/6/2023,50,Values prior to 7/1/2023 obtained by computing a ratio with overlapping dates.
1/7/2023,69,The older values were adjusted proportionally to match the scale of the more recent values.
1/8/2023,74,
1/9/2023,46,
1/10/2023,43,
1/11/2023,43,
1/12/2023,44,
1/13/2023,50,
1/14/2023,76,
1/15/2023,77,
1/16/2023,63,
1/17/2023,44,
1/18/2023,41,
1/19/2023,43,
1/20/2023,50,
1/21/2023,71,
1/22/2023,72,
1/23/2023,46,
1/24/2023,44,
1/25/2023,46,
1/26/2023,41,
1/27/2023,49,
1/28/2023,73,
1/29/2023,72,
1/30/2023,46,
1/31/2023,44,
2/1/2023,44,
2/2/2023,43,
2/3/2023,49,
2/4/2023,75,
2/5/2023,77,
2/6/2023,44,
2/7/2023,40,
2/8/2023,38,
2/9/2023,40,
2/10/2023,44,
2/11/2023,72,
2/12/2023,64,
2/13/2023,41,
2/14/2023,43,
2/15/2023,47,
2/16/2023,43,
2/17/2023,52,
2/18/2023,73,
2/19/2023,81,
2/20/2023,62,
2/21/2023,44,
2/22/2023,42,
2/23/2023,44,
2/24/2023,49,
2/25/2023,73,
2/26/2023,75,
2/27/2023,44,
2/28/2023,40,
3/1/2023,39,
3/2/2023,39,
3/3/2023,45,
3/4/2023,72,
3/5/2023,73,
3/6/2023,46,
3/7/2023,40,
3/8/2023,39,
3/9/2023,41,
3/10/2023,49,
3/11/2023,73,
3/12/2023,79,
3/13/2023,59,
3/14/2023,49,
3/15/2023,45,
3/16/2023,43,
3/17/2023,53,
3/18/2023,72,
3/19/2023,79,
3/20/2023,47,
3/21/2023,43,
3/22/2023,38,
3/23/2023,42,
3/24/2023,50,
3/25/2023,69,
3/26/2023,73,
3/27/2023,45,
3/28/2023,40,
3/29/2023,42,
3/30/2023,40,
3/31/2023,49,
4/1/2023,66,
4/2/2023,67,
4/3/2023,47,
4/4/2023,43,
4/5/2023,46,
4/6/2023,50,
4/7/2023,59,
4/8/2023,73,
4/9/2023,75,
4/10/2023,50,
4/11/2023,44,
4/12/2023,39,
4/13/2023,40,
4/14/2023,48,
4/15/2023,66,
4/16/2023,70,
4/17/2023,43,
4/18/2023,39,
4/19/2023,38,
4/20/2023,38,
4/21/2023,48,
4/22/2023,75,
4/23/2023,70,
4/24/2023,45,
4/25/2023,42,
4/26/2023,38,
4/27/2023,43,
4/28/2023,48,
4/29/2023,70,
4/30/2023,73,
5/1/2023,44,
5/2/2023,41,
5/3/2023,38,
5/4/2023,41,
5/5/2023,45,
5/6/2023,63,
5/7/2023,67,
5/8/2023,44,
5/9/2023,40,
5/10/2023,38,
5/11/2023,38,
5/12/2023,44,
5/13/2023,64,
5/14/2023,70,
5/15/2023,47,
5/16/2023,42,
5/17/2023,39,
5/18/2023,41,
5/19/2023,49,
5/20/2023,68,
5/21/2023,68,
5/22/2023,45,
5/23/2023,42,
5/24/2023,40,
5/25/2023,44,
5/26/2023,52,
5/27/2023,70,
5/28/2023,77,
5/29/2023,73,
5/30/2023,50,
5/31/2023,44,
6/1/2023,44,
6/2/2023,51,
6/3/2023,71,
6/4/2023,74,
6/5/2023,51,
6/6/2023,47,
6/7/2023,47,
6/8/2023,49,
6/9/2023,52,
6/10/2023,75,
6/11/2023,79,
6/12/2023,53,
6/13/2023,53,
6/14/2023,50,
6/15/2023,50,
6/16/2023,58,
6/17/2023,70,
6/18/2023,78,
6/19/2023,57,
6/20/2023,50,
6/21/2023,48,
6/22/2023,50,
6/23/2023,55,
6/24/2023,72,
6/25/2023,70,
6/26/2023,54,
6/27/2023,50,
6/28/2023,50,
6/29/2023,45,
6/30/2023,55,
7/1/2023,70,
7/2/2023,78,
7/3/2023,67,
7/4/2023,76,
7/5/2023,55,
7/6/2023,53,
7/7/2023,56,
7/8/2023,81,
7/9/2023,78,
7/10/2023,54,
7/11/2023,54,
7/12/2023,50,
7/13/2023,51,
7/14/2023,58,
7/15/2023,75,
7/16/2023,78,
7/17/2023,54,
7/18/2023,51,
7/19/2023,51,
7/20/2023,52,
7/21/2023,60,
7/22/2023,78,
7/23/2023,85,
7/24/2023,59,
7/25/2023,57,
7/26/2023,54,
7/27/2023,52,
7/28/2023,56,
7/29/2023,73,
7/30/2023,76,
7/31/2023,54,
8/1/2023,51,
8/2/2023,47,
8/3/2023,48,
8/4/2023,52,
8/5/2023,67,
8/6/2023,73,
8/7/2023,54,
8/8/2023,48,
8/9/2023,46,
8/10/2023,45,
8/11/2023,49,
8/12/2023,68,
8/13/2023,73,
8/14/2023,51,
8/15/2023,46,
8/16/2023,43,
8/17/2023,43,
8/18/2023,47,
8/19/2023,63,
8/20/2023,69,
8/21/2023,48,
8/22/2023,44,
8/23/2023,43,
8/24/2023,43,
8/25/2023,48,
8/26/2023,65,
8/27/2023,78,
8/28/2023,46,
8/29/2023,39,
8/30/2023,40,
8/31/2023,39,
9/1/2023,45,
9/2/2023,60,
9/3/2023,71,
9/4/2023,71,
9/5/2023,42,
9/6/2023,37,
9/7/2023,36,
9/8/2023,41,
9/9/2023,57,
9/10/2023,58,
9/11/2023,42,
9/12/2023,37,
9/13/2023,38,
9/14/2023,39,
9/15/2023,44,
9/16/2023,64,
9/17/2023,61,
9/18/2023,41,
9/19/2023,39,
9/20/2023,38,
9/21/2023,40,
9/22/2023,44,
9/23/2023,69,
9/24/2023,66,
9/25/2023,44,
9/26/2023,40,
9/27/2023,40,
9/28/2023,41,
9/29/2023,45,
9/30/2023,68,
10/1/2023,66,
10/2/2023,47,
10/3/2023,41,
10/4/2023,43,
10/5/2023,45,
10/6/2023,49,
10/7/2023,71,
10/8/2023,71,
10/9/2023,52,
10/10/2023,43,
10/11/2023,43,
10/12/2023,44,
10/13/2023,52,
10/14/2023,73,
10/15/2023,75,
10/16/2023,47,
10/17/2023,42,
10/18/2023,43,
10/19/2023,43,
10/20/2023,48,
10/21/2023,73,
10/22/2023,70,
10/23/2023,47,
10/24/2023,41,
10/25/2023,41,
10/26/2023,39,
10/27/2023,51,
10/28/2023,71,
10/29/2023,75,
10/30/2023,51,
10/31/2023,53,
11/1/2023,53,
11/2/2023,40,
11/3/2023,47,
11/4/2023,70,
11/5/2023,65,
11/6/2023,46,
11/7/2023,41,
11/8/2023,42,
11/9/2023,42,
11/10/2023,53,
11/11/2023,68,
11/12/2023,67,
11/13/2023,47,
11/14/2023,41,
11/15/2023,40,
11/16/2023,42,
11/17/2023,48,
11/18/2023,68,
11/19/2023,71,
11/20/2023,52,
11/21/2023,52,
11/22/2023,58,
11/23/2023,70,
11/24/2023,71,
11/25/2023,73,
11/26/2023,76,
11/27/2023,47,
11/28/2023,42,
11/29/2023,42,
11/30/2023,44,
12/1/2023,47,
12/2/2023,64,
12/3/2023,68,
12/4/2023,45,
12/5/2023,39,
12/6/2023,41,
12/7/2023,42,
12/8/2023,47,
12/9/2023,67,
12/10/2023,73,
12/11/2023,47,
12/12/2023,42,
12/13/2023,44,
12/14/2023,43,
12/15/2023,48,
12/16/2023,63,
12/17/2023,69,
12/18/2023,50,
12/19/2023,48,
12/20/2023,52,
12/21/2023,52,
12/22/2023,59,
12/23/2023,70,
12/24/2023,77,
12/25/2023,100,
12/26/2023,78,
12/27/2023,65,
12/28/2023,63,
12/29/2023,65,
12/30/2023,75,
12/31/2023,71,
1/1/2024,82,
1/2/2024,55,
1/3/2024,48,
1/4/2024,47,
1/5/2024,51,
1/6/2024,71,
1/7/2024,68,
1/8/2024,44,
1/9/2024,42,
1/10/2024,39,
1/11/2024,41,
1/12/2024,49,
1/13/2024,68,
1/14/2024,69,
1/15/2024,63,
1/16/2024,44,
1/17/2024,43,
1/18/2024,40,
1/19/2024,46,
1/20/2024,68,
1/21/2024,65,
1/22/2024,42,
1/23/2024,39,
1/24/2024,38,
1/25/2024,38,
1/26/2024,44,
1/27/2024,66,
1/28/2024,63,
1/29/2024,39,
1/30/2024,36,
1/31/2024,35,
2/1/2024,35,
2/2/2024,42,
2/3/2024,67,
2/4/2024,70,
2/5/2024,40,
2/6/2024,36,
2/7/2024,37,
2/8/2024,36,
2/9/2024,41,
2/10/2024,66,
2/11/2024,61,
2/12/2024,37,
2/13/2024,40,
2/14/2024,43,
