month,permits_total,permits_single_family,starts_total,starts_single_family,completions_total,completions_single_family,comments
Jan 1968,74.4,38.9,70.0,35.7,88.1,59.4,
Feb 1968,90.2,44.7,69.0,40.2,83.1,54.3,variable definitions:
Mar 1968,117.5,61.4,104.1,57.8,94.9,59.7,permits_total = total number of privately-owned housing construction permits issued in the U.S. (thousands)
Apr 1968,134.8,72.0,139.0,75.6,102.4,67.3,permits_single_family = number of privately-owned single-family housing construction permits issued in the U.S. (thousands)
May 1968,132.8,70.7,120.1,67.1,111.3,73.0,starts_total = total number of privately-owned housing units starting construction in the U.S. (thousands)
Jun 1968,116.2,60.2,119.2,63.9,104.5,69.7,starts_single_family = number of privately-owned single_family housing units starting construction in the U.S. (thousands)
Jul 1968,120.1,64.3,118.5,65.4,117.3,79.7,completed_total = total number of privately-owned housing completed in the U.S. (thousands)
Aug 1968,115.7,62.2,116.2,63.0,118.4,78.1,completed_single_family = number of privately-owned single_family housing completed in the U.S. (thousands)
Sep 1968,118.2,60.8,116.0,63.0,135.6,83.3,
Oct 1968,129.9,65.0,120.3,65.7,127.8,78.9,source
Nov 1968,106.1,51.9,111.2,50.2,114.3,75.1,United States Census Bureau
Dec 1968,97.3,42.5,84.1,41.8,122.1,80.1,New Residential Contruction
Jan 1969,94.1,39.8,90.1,40.3,88.8,56.4,https://www.census.gov/construction/nrc/historical_data/index.html
Feb 1969,96.2,42.5,78.7,37.7,96.0,59.2,Accessed 1/25/2024
Mar 1969,121.7,58.5,116.6,57.7,114.9,62.2,
Apr 1969,149.3,69.7,139.6,66.6,98.8,55.1,
May 1969,128.6,64.5,133.8,71.0,118.0,66.8,
Jun 1969,125.5,61.7,124.7,62.4,131.7,76.6,
Jul 1969,114.0,55.2,105.1,54.2,118.6,69.9,
Aug 1969,106.1,50.3,105.4,51.6,126.4,73.3,
Sep 1969,106.8,51.3,109.4,52.5,133.8,72.3,
Oct 1969,111.1,53.5,107.7,52.9,136.4,78.6,
Nov 1969,84.4,40.1,80.7,43.3,113.1,65.5,
Dec 1969,85.9,38.8,77.5,36.4,122.7,71.7,
Jan 1970,67.5,27.7,57.4,24.8,105.1,56.1,
Feb 1970,72.9,34.4,63.9,31.4,97.1,51.7,
Mar 1970,99.5,50.8,101.3,48.7,95.8,49.3,
Apr 1970,125.5,63.5,111.6,57.6,103.4,56.0,
May 1970,122.0,58.3,104.6,55.4,107.5,61.2,
Jun 1970,129.0,62.7,112.7,61.1,130.7,69.0,
Jul 1970,118.3,59.6,121.4,56.7,117.3,69.1,
Aug 1970,113.7,58.3,109.6,58.3,147.5,80.3,
Sep 1970,121.0,60.9,109.1,55.2,128.9,80.3,
Oct 1970,136.3,62.2,122.7,62.4,141.0,79.5,
Nov 1970,113.1,51.3,110.5,51.4,120.5,74.0,
Dec 1970,132.6,57.1,108.8,56.8,123.5,75.4,
Jan 1971,98.8,44.1,99.3,43.8,107.3,56.5,
Feb 1971,104.1,48.1,89.7,46.7,98.4,59.1,
Mar 1971,157.6,78.8,144.8,69.5,108.2,64.2,
Apr 1971,175.3,89.6,174.5,90.2,133.2,76.1,
May 1971,180.9,90.2,173.8,92.2,133.7,81.3,
Jun 1971,186.0,93.2,167.2,91.2,144.3,84.2,
Jul 1971,177.6,86.0,169.0,86.3,145.6,89.7,
Aug 1971,174.5,82.7,177.2,85.1,171.4,95.2,
Sep 1971,168.6,78.1,148.3,77.3,169.9,100.3,
Oct 1971,169.0,76.0,152.5,76.5,174.6,106.3,
Nov 1971,165.1,73.3,151.4,71.1,153.0,96.5,
Dec 1971,167.1,65.9,135.5,64.1,166.5,104.7,
Jan 1972,137.3,61.8,128.4,56.9,145.3,79.0,
Feb 1972,148.1,64.8,132.3,57.1,143.5,77.6,
Mar 1972,191.1,94.2,175.4,83.9,144.9,81.2,
Apr 1972,191.8,95.0,180.2,88.9,148.4,86.5,
May 1972,206.9,103.2,188.3,98.8,153.4,92.8,
Jun 1972,214.6,104.1,186.3,96.0,173.9,100.9,
Jul 1972,179.6,89.1,172.8,86.2,162.8,97.5,
Aug 1972,206.4,101.1,192.2,96.2,189.7,114.6,
Sep 1972,190.6,84.6,167.8,86.4,193.0,104.0,
Oct 1972,201.1,98.1,187.6,89.5,193.6,117.1,
Nov 1972,176.8,76.5,161.1,73.5,164.3,100.8,
Dec 1972,174.6,60.8,134.2,57.0,191.1,108.3,
Jan 1973,152.1,64.9,128.1,58.9,161.6,91.5,
Feb 1973,145.7,66.2,120.8,56.9,143.5,86.9,
Mar 1973,184.4,91.6,175.7,81.1,163.0,92.2,
Apr 1973,185.4,94.9,179.9,97.5,167.1,94.6,
May 1973,191.7,102.2,199.0,99.9,182.2,103.0,
Jun 1973,193.7,92.0,176.1,90.7,202.1,112.2,
Jul 1973,157.3,82.6,164.1,83.0,172.7,93.2,
Aug 1973,162.9,78.0,168.3,79.5,185.8,106.8,
Sep 1973,125.2,61.7,125.2,61.4,188.1,106.0,
Oct 1973,122.9,60.4,122.0,61.1,198.8,114.7,
Nov 1973,107.2,49.9,109.7,48.7,164.6,98.3,
Dec 1973,91.1,37.8,80.2,36.7,171.0,97.9,
Jan 1974,87.5,38.7,73.5,34.5,143.2,70.5,
Feb 1974,86.7,44.8,92.4,43.6,131.2,69.2,
Mar 1974,120.1,66.5,108.4,61.2,136.9,67.2,
Apr 1974,130.9,76.8,130.5,73.9,137.7,69.0,
