"naics","business","month","sales_millions"
443141,"Household appliance stores",1992 Jan,601
443141,"Household appliance stores",1992 Feb,576
443141,"Household appliance stores",1992 Mar,631
443141,"Household appliance stores",1992 Apr,643
443141,"Household appliance stores",1992 May,662
443141,"Household appliance stores",1992 Jun,746
443141,"Household appliance stores",1992 Jul,764
443141,"Household appliance stores",1992 Aug,727
443141,"Household appliance stores",1992 Sep,682
443141,"Household appliance stores",1992 Oct,732
443141,"Household appliance stores",1992 Nov,753
443141,"Household appliance stores",1992 Dec,920
4441,"Building mat. and supplies dealers",1992 Jan,7637
4441,"Building mat. and supplies dealers",1992 Feb,7567
4441,"Building mat. and supplies dealers",1992 Mar,8718
4441,"Building mat. and supplies dealers",1992 Apr,9330
4441,"Building mat. and supplies dealers",1992 May,9731
4441,"Building mat. and supplies dealers",1992 Jun,10178
4441,"Building mat. and supplies dealers",1992 Jul,9981
4441,"Building mat. and supplies dealers",1992 Aug,9742
4441,"Building mat. and supplies dealers",1992 Sep,9813
4441,"Building mat. and supplies dealers",1992 Oct,10018
4441,"Building mat. and supplies dealers",1992 Nov,8835
4441,"Building mat. and supplies dealers",1992 Dec,8765
44812,"Women's clothing stores",1992 Jan,1873
44812,"Women's clothing stores",1992 Feb,1991
44812,"Women's clothing stores",1992 Mar,2403
44812,"Women's clothing stores",1992 Apr,2665
44812,"Women's clothing stores",1992 May,2752
44812,"Women's clothing stores",1992 Jun,2424
44812,"Women's clothing stores",1992 Jul,2373
44812,"Women's clothing stores",1992 Aug,2657
44812,"Women's clothing stores",1992 Sep,2560
44812,"Women's clothing stores",1992 Oct,2755
44812,"Women's clothing stores",1992 Nov,2946
44812,"Women's clothing stores",1992 Dec,4416
45111,"Sporting goods stores",1992 Jan,972
45111,"Sporting goods stores",1992 Feb,1100
45111,"Sporting goods stores",1992 Mar,1214
45111,"Sporting goods stores",1992 Apr,1267
45111,"Sporting goods stores",1992 May,1293
45111,"Sporting goods stores",1992 Jun,1334
45111,"Sporting goods stores",1992 Jul,1340
45111,"Sporting goods stores",1992 Aug,1377
45111,"Sporting goods stores",1992 Sep,1206
45111,"Sporting goods stores",1992 Oct,1120
45111,"Sporting goods stores",1992 Nov,1207
45111,"Sporting goods stores",1992 Dec,2153
443141,"Household appliance stores",1993 Jan,641
443141,"Household appliance stores",1993 Feb,593
443141,"Household appliance stores",1993 Mar,669
443141,"Household appliance stores",1993 Apr,701
443141,"Household appliance stores",1993 May,727
