Date,Open,High,Low,Close,Source
1/2/2015,"2,058.90","2,072.36","2,046.04","2,058.20",https://www.marketwatch.com/investing/index/spx/download-data?startDate=12/25/2014&endDate=12/25/2015
1/5/2015,"2,054.44","2,054.44","2,017.34","2,020.58",
1/6/2015,"2,022.15","2,030.25","1,992.44","2,002.61",
1/7/2015,"2,005.55","2,029.61","2,005.55","2,025.90",
1/8/2015,"2,030.61","2,064.08","2,030.61","2,062.14",
1/9/2015,"2,063.45","2,064.43","2,038.33","2,044.81",
1/12/2015,"2,046.13","2,049.30","2,022.58","2,028.26",
1/13/2015,"2,031.58","2,056.93","2,008.25","2,023.03",
1/14/2015,"2,018.40","2,018.40","1,988.44","2,011.27",
1/15/2015,"2,013.75","2,021.35","1,991.47","1,992.67",
1/16/2015,"1,992.25","2,020.46","1,988.12","2,019.42",
1/20/2015,"2,020.76","2,028.94","2,004.49","2,022.55",
1/21/2015,"2,020.19","2,038.29","2,012.04","2,032.12",
1/22/2015,"2,034.30","2,064.62","2,026.38","2,063.15",
1/23/2015,"2,062.98","2,062.98","2,050.54","2,051.82",
1/26/2015,"2,050.42","2,057.62","2,040.97","2,057.09",
1/27/2015,"2,047.86","2,047.86","2,019.91","2,029.55",
1/28/2015,"2,032.34","2,042.49","2,001.49","2,002.16",
1/29/2015,"2,002.45","2,024.64","1,989.18","2,021.25",
1/30/2015,"2,019.35","2,023.32","1,993.38","1,994.99",
2/2/2015,"1,996.67","2,021.66","1,980.90","2,020.85",
2/3/2015,"2,022.71","2,050.30","2,022.71","2,050.03",
2/4/2015,"2,048.86","2,054.74","2,036.72","2,041.51",
2/5/2015,"2,043.45","2,063.55","2,043.45","2,062.52",
2/6/2015,"2,062.28","2,072.40","2,049.97","2,055.47",
2/9/2015,"2,053.47","2,056.16","2,041.88","2,046.74",
2/10/2015,"2,049.38","2,070.86","2,048.62","2,068.59",
2/11/2015,"2,068.55","2,073.48","2,057.99","2,068.53",
2/12/2015,"2,069.98","2,088.53","2,069.98","2,088.48",
2/13/2015,"2,088.78","2,097.03","2,086.70","2,096.99",
2/17/2015,"2,096.47","2,101.30","2,089.80","2,100.34",
2/18/2015,"2,099.16","2,100.23","2,092.15","2,099.68",
2/19/2015,"2,099.25","2,102.13","2,090.79","2,097.45",
2/20/2015,"2,097.65","2,110.61","2,085.44","2,110.30",
2/23/2015,"2,109.83","2,110.05","2,103.00","2,109.66",
2/24/2015,"2,109.10","2,117.94","2,105.87","2,115.48",
2/25/2015,"2,115.30","2,119.59","2,109.89","2,113.86",
2/26/2015,"2,113.91","2,113.91","2,103.76","2,110.74",
2/27/2015,"2,110.88","2,112.74","2,103.75","2,104.50",
3/2/2015,"2,105.23","2,117.52","2,104.50","2,117.39",
3/3/2015,"2,115.76","2,115.76","2,098.26","2,107.78",
3/4/2015,"2,107.72","2,107.72","2,087.62","2,098.53",
3/5/2015,"2,098.54","2,104.25","2,095.22","2,101.04",
3/6/2015,"2,100.91","2,100.91","2,067.27","2,071.26",
3/9/2015,"2,072.25","2,083.49","2,072.21","2,079.43",
3/10/2015,"2,076.14","2,076.14","2,044.16","2,044.16",
3/11/2015,"2,044.69","2,050.08","2,039.69","2,040.24",
3/12/2015,"2,041.10","2,066.41","2,041.10","2,065.95",
3/13/2015,"2,064.56","2,064.56","2,041.17","2,053.40",
3/16/2015,"2,055.35","2,081.41","2,055.35","2,081.19",
3/17/2015,"2,080.59","2,080.59","2,065.08","2,074.28",
3/18/2015,"2,072.84","2,106.85","2,061.23","2,099.50",
3/19/2015,"2,098.69","2,098.69","2,085.56","2,089.27",
3/20/2015,"2,090.32","2,113.92","2,090.32","2,108.10",
3/23/2015,"2,107.99","2,114.86","2,104.42","2,104.42",
3/24/2015,"2,103.94","2,107.63","2,091.50","2,091.50",
3/25/2015,"2,093.10","2,097.43","2,061.05","2,061.05",
3/26/2015,"2,059.94","2,067.15","2,045.50","2,056.15",
3/27/2015,"2,055.78","2,062.83","2,052.96","2,061.02",
3/30/2015,"2,064.11","2,088.97","2,064.11","2,086.24",
3/31/2015,"2,084.05","2,084.05","2,067.04","2,067.89",
4/1/2015,"2,067.63","2,067.63","2,048.38","2,059.69",
4/2/2015,"2,060.03","2,072.17","2,057.32","2,066.96",
4/6/2015,"2,064.87","2,086.99","2,056.52","2,080.62",
4/7/2015,"2,080.79","2,089.81","2,076.10","2,076.33",
4/8/2015,"2,076.94","2,086.69","2,073.30","2,081.90",
4/9/2015,"2,081.29","2,093.31","2,074.29","2,091.18",
4/10/2015,"2,091.51","2,102.61","2,091.51","2,102.06",
4/13/2015,"2,102.03","2,107.65","2,092.33","2,092.43",
4/14/2015,"2,092.28","2,098.62","2,083.24","2,095.84",
4/15/2015,"2,097.82","2,111.91","2,097.82","2,106.63",
4/16/2015,"2,105.96","2,111.30","2,100.02","2,104.99",
4/17/2015,"2,102.58","2,102.58","2,072.37","2,081.18",
4/20/2015,"2,084.11","2,103.94","2,084.11","2,100.40",
4/21/2015,"2,102.82","2,109.64","2,094.38","2,097.29",
4/22/2015,"2,098.27","2,109.98","2,091.05","2,107.96",
4/23/2015,"2,107.21","2,120.49","2,103.19","2,112.93",
4/24/2015,"2,112.80","2,120.92","2,112.80","2,117.69",
4/27/2015,"2,119.29","2,125.92","2,107.04","2,108.92",
4/28/2015,"2,108.35","2,116.09","2,094.89","2,114.76",
4/29/2015,"2,112.49","2,113.65","2,097.41","2,106.85",
4/30/2015,"2,105.52","2,105.52","2,077.59","2,085.51",
5/1/2015,"2,087.38","2,108.41","2,087.38","2,108.29",
5/4/2015,"2,110.23","2,120.95","2,110.23","2,114.49",
5/5/2015,"2,112.63","2,115.24","2,088.46","2,089.46",
5/6/2015,"2,091.26","2,098.42","2,067.93","2,080.15",
5/7/2015,"2,079.96","2,092.90","2,074.99","2,088.00",
5/8/2015,"2,092.13","2,117.66","2,092.13","2,116.10",
5/11/2015,"2,115.56","2,117.69","2,104.58","2,105.33",
5/12/2015,"2,102.87","2,105.06","2,085.57","2,099.12",
5/13/2015,"2,099.62","2,110.19","2,096.04","2,098.48",
5/14/2015,"2,100.43","2,121.45","2,100.43","2,121.10",
5/15/2015,"2,122.07","2,123.89","2,116.79","2,122.73",
5/18/2015,"2,121.30","2,131.78","2,120.01","2,129.20",
5/19/2015,"2,129.45","2,133.02","2,124.50","2,127.83",
5/20/2015,"2,127.79","2,134.72","2,122.59","2,125.85",
5/21/2015,"2,125.55","2,134.28","2,122.95","2,130.82",
5/22/2015,"2,130.36","2,132.15","2,126.06","2,126.06",
5/26/2015,"2,125.34","2,125.34","2,099.18","2,104.20",
5/27/2015,"2,105.13","2,126.22","2,105.13","2,123.48",
5/28/2015,"2,122.27","2,122.27","2,112.86","2,120.79",
5/29/2015,"2,120.66","2,120.66","2,104.89","2,107.39",
6/1/2015,"2,108.64","2,119.15","2,102.54","2,111.73",
6/2/2015,"2,110.41","2,117.59","2,099.14","2,109.60",
6/3/2015,"2,110.64","2,121.92","2,109.61","2,114.07",
6/4/2015,"2,112.35","2,112.89","2,093.23","2,095.84",
6/5/2015,"2,095.09","2,100.99","2,085.67","2,092.83",
6/8/2015,"2,092.34","2,093.01","2,079.11","2,079.28",
6/9/2015,"2,079.07","2,085.62","2,072.14","2,080.15",
6/10/2015,"2,081.12","2,108.50","2,081.12","2,105.20",
6/11/2015,"2,106.24","2,115.02","2,106.24","2,108.86",
6/12/2015,"2,107.43","2,107.43","2,091.33","2,094.11",
6/15/2015,"2,091.34","2,091.34","2,072.49","2,084.43",
6/16/2015,"2,084.26","2,097.40","2,082.10","2,096.29",
