Month Code,Deaths
1999/01,27
1999/02,24
1999/03,30
1999/04,21
1999/05,18
1999/06,26
1999/07,21
1999/08,33
1999/09,24
1999/10,23
1999/11,24
1999/12,18
2000/01,20
2000/02,16
2000/03,20
2000/04,23
2000/05,20
2000/06,24
2000/07,11
2000/08,18
2000/09,19
2000/10,16
2000/11,30
2000/12,20
2001/01,22
2001/02,30
2001/03,24
2001/04,18
2001/05,24
2001/06,16
2001/07,26
2001/08,26
2001/09,30
2001/10,18
2001/11,24
2001/12,19
2002/01,26
2002/02,21
2002/03,13
2002/04,22
2002/05,18
2002/06,13
2002/07,21
2002/08,19
2002/09,18
2002/10,14
2002/11,18
2002/12,20
2003/01,17
2003/02,15
2003/03,14
2003/04,12
2003/05,16
2003/06,11
2003/07,19
2003/08,14
2003/09,14
2003/10,16
2003/11,14
2003/12,16
2004/01,20
2004/02,18
2004/03,10
2004/04,22
2004/05,10
2004/06,13
2004/07,15
2004/08,15
2004/09,19
2004/10,22
2004/11,24
2004/12,14
2005/1,13
2005/2,12
2005/03,14
2005/04,10
2005/05,10
2005/06,19
2005/07,18
2005/08,20
2005/09,14
2005/10,19
2005/11,17
2005/12,16
2006/01,13
2006/02,10
2006/03,12
2006/04,17
2006/05,15
2006/06,12
2006/07,22
2006/08,16
2006/09,19
2006/10,14
2006/11,13
2006/12,16
2007/01,18
2007/02,20
2007/03,19
2007/04,22
2007/05,17
2007/06,13
2007/07,11
2007/08,11
2007/09,19
2007/10,10
2007/11,12
2007/12,13
2008/01,16
2008/02,10
2008/03,21
2008/04,16
2008/05,12
2008/06,15
2008/07,17
2008/08,16
2008/09,15
2008/10,10
2008/11,18
2008/12,11
2009/01,12
2009/02,13
2009/03,15
2009/04,11
2009/05,10
2009/06,11
2009/07,18
2009/08,14
2009/09,11
2009/10,13
2009/11,13
2009/12,11
2010/01,16
2010/02,10
2010/03,11
2010/04,10
2010/05,12
2010/06,13
2010/07,14
2010/08,19
2010/09,22
2010/10,20
2010/11,18
2010/12,14
2011/01,15
2011/02,12
2011/03,13
2011/04,18
2011/05,15
2011/06,11
2011/07,17
2011/08,19
2011/09,17
2011/10,15
2011/11,13
2011/12,10
2012/01,12
2012/02,15
2012/03,13
2012/04,15
2012/05,12
2012/06,16
2012/07,11
2012/08,17
2012/09,16
2012/10,17
2012/11,12
2012/12,11
2013/01,16
2013/02,20
2013/03,22
2013/04,12
2013/05,18
2013/06,14
2013/07,13
2013/08,22
2013/09,12
2013/10,12
2013/11,12
2013/12,10
2014/01,15
2014/02,13
2014/03,14
2014/04,18
2014/05,19
2014/06,17
2014/07,18
2014/08,15
2014/09,17
2014/10,16
2014/11,22
2014/12,22
2015/01,15
2015/02,14
2015/03,16
2015/04,14
2015/05,13
2015/06,12
2015/07,14
2015/08,14
2015/09,10
2015/10,18
2015/11,13
2015/12,22
2016/01,15
2016/02,10
2016/03,14
2016/04,14
2016/05,18
2016/06,18
2016/07,17
2016/08,25
2016/09,10
2016/10,19
2016/11,12
2016/12,14
2017/01,14
2017/02,14
2017/03,21
2017/04,13
2017/05,15
2017/06,20
2017/07,18
2017/08,25
2017/09,10
2017/10,20
2017/11,20
2017/12,14
2018/01,17
2018/02,11
2018/03,23
2018/04,11
2018/05,15
2018/06,21
2018/07,23
2018/08,18
2018/09,22
2018/10,15
2018/11,22
2018/12,16
2019/01,13
2019/02,17
2019/03,21
2019/04,23
2019/05,18
2019/06,20
2019/07,24
2019/08,27
2019/09,19
2019/10,23
2019/11,15
2019/12,24
2020/01,22
2020/02,19
2020/03,23
2020/04,11
2020/05,18
2020/06,23
2020/07,11
2020/08,23
2020/09,13
2020/10,13
2020/11,26
2020/12,20
2021/01,13
2021/02,20
2021/03,20
2021/04,18
2021/05,21
2021/06,25
2021/07,20
2021/08,23
2021/09,15
2021/10,26
2021/11,32
2021/12,21
2022/01,14
2022/02,25
2022/03,29
2022/04,19
2022/05,23
2022/06,30
2022/07,27
2022/08,29
2022/09,16
2022/10,35
2022/11,31
2022/12,30
2023/01,20
2023/02,27
2023/03,28
2023/04,29
2023/05,19
2023/06,24
2023/07,23
2023/08,34
2023/09,36
2023/10,39
2023/11,28
2023/12,32
